# date	league	home	away	league_id	home_id	away_id	fixture_id
2025-12-04	belgian cup	Charleroi	KV Mechelen	147	736	266	1485044
2025-12-04	belgian cup	Genk	Anderlecht	147	742	554	1485046
2025-12-04	copa del rey	Atlético Baleares	Espanyol	143	9381	540	1486129
2025-12-04	copa del rey	Leganes	Albacete	143	537	722	1486138
2025-12-04	copa del rey	Real Ávila	Rayo Vallecano	143	9736	728	1486149
2025-12-04	copa del rey	Sabadell	Deportivo La Coruna	143	9593	544	1486151
2025-12-04	copa del rey	Ponferradina	Racing Santander	143	4907	4665	1486144
2025-12-04	copa del rey	Extremadura 1924	Sevilla	143	24612	536	1486130
2025-12-04	copa del rey	FC Cartagena	Valencia	143	5262	532	1486136
2025-12-04	copa del rey	Sant Andreu	Celta Vigo	143	5277	538	1486152
2025-12-04	copa del rey	Zaragoza	Burgos	143	732	9580	1486155
2025-12-04	copa del rey	Tenerife	Granada CF	143	719	715	1486153
2025-12-04	liga mx	Cruz Azul	Tigres UANL	262	2295	2279	1488773
2025-12-04	liga mx	Monterrey	Toluca	262	2282	2281	1488770
2025-12-04	premier league	Manchester United	West Ham	39	33	48	1379106
2025-12-04	primera a colombia	Atletico Nacional	Independiente Medellin	239	1137	1128	1487912
2025-12-04	primera a colombia	Bucaramanga	Deportes Tolima	239	1131	1142	1487910
2025-12-04	schweizer cup	Grand-Saconnex	FC Basel 1893	209	17415	551	1476025
2025-12-04	schweizer cup	FC Aarau	FC Sion	209	2177	630	1476031
2025-12-04	serie a brazil	Atletico-MG	Palmeiras	71	1062	121	1478007
2025-12-04	serie a brazil	Flamengo	Ceara	71	127	129	1478040
2025-12-04	serie a brazil	Cruzeiro	Botafogo	71	135	120	1478039
2025-12-04	serie b	Juve Stabia	Bari	136	863	508	1419681
2025-12-04	superligaen	Kisvarda FC	Ferencvarosi TC	271	2394	651	1380199
2025-12-04	taça da liga	FC Porto	Guimaraes	97	212	224	1395329
