# date	league	home	away	league_id	home_id	away_id	fixture_id
2026-02-13	2. bundesliga	1. FC Nürnberg	Karlsruher SC	79	171	785	1388810
2026-02-13	2. bundesliga	Fortuna Düsseldorf	Preußen Münster	79	158	1313	1388805
2026-02-13	bundesliga	Borussia Dortmund	FSV Mainz 05	78	165	164	1388499
2026-02-13	cymru premier league	Cardiff MET	llanelli AFC	110	353	355	1508994
2026-02-13	cymru premier league	Colwyn Bay	The New Saints	110	5611	354	1508964
2026-02-13	cymru premier league	Haverfordwest County AFC	Bala Town	110	2194	352	1508995
2026-02-13	eredivisie	FC Volendam	PSV Eindhoven	88	416	197	1381067
2026-02-13	fa cup	Hull City	Chelsea	45	64	49	1506257
2026-02-13	fa cup	Wrexham	Ipswich	45	1837	57	1506265
2026-02-13	laliga	Elche	Osasuna	140	797	727	1391049
2026-02-13	laliga2	Almeria	FC Andorra	141	723	8157	1396974
2026-02-13	liga portugal	Santa Clara	Benfica	94	227	211	1396431
2026-02-13	liga portugal	Tondela	Alverca	94	218	4724	1396433
2026-02-13	liga profesional argentina	Argentinos JRS	River Plate	128	458	435	1491878
2026-02-13	liga profesional argentina	Defensa Y Justicia	Velez Sarsfield	128	442	438	1491882
2026-02-13	ligue 1	Rennes	Paris Saint Germain	61	94	85	1387895
2026-02-13	ligue 1	Monaco	Nantes	61	91	83	1387893
2026-02-13	ligue 2	Amiens	Dunkerque	62	87	1304	1389318
2026-02-13	ligue 2	Clermont Foot	Rodez	62	99	1301	1389320
2026-02-13	ligue 2	Laval	Annecy	62	433	3012	1389319
2026-02-13	ligue 2	PAU	Boulogne	62	1297	1299	1389316
2026-02-13	ligue 2	RED Star FC 93	Nancy	62	104	102	1389315
2026-02-13	primera a colombia	Once Caldas	Junior	239	1136	1135	1505984
2026-02-13	primera a colombia	Atletico Nacional	Fortaleza FC	239	1137	1147	1505985
2026-02-13	primera división paraguay	Club Guarani	Club Sp. San Lorenzo	250	1174	2125	1504985
2026-02-13	pro league	KV Mechelen	Genk	144	266	742	1382623
2026-02-13	saudi arabia	Al Shabab	Al-Ahli Jeddah	307	2940	2929	1436110
2026-02-13	saudi arabia	Al-Hilal Saudi FC	Al-Ettifaq	307	2932	2934	1436106
2026-02-13	saudi arabia	Al-Ittihad FC	Al-Fayha	307	2938	2944	1436107
2026-02-13	serie a brazil	Corinthians	RB Bragantino	71	131	794	1492133
2026-02-13	serie a brazil	Internacional	Palmeiras	71	119	121	1492135
2026-02-13	serie a italia	Pisa	AC Milan	135	801	489	1378111
2026-02-13	super lig	Antalyaspor	Samsunspor	203	1005	3603	1394623
2026-02-13	super lig	Galatasaray	Eyüpspor	203	645	3588	1394625
2026-02-13	superligaen	Ujpest	Debreceni VSC	271	2255	2392	1380304
