# date	league	home	away	league_id	home_id	away_id	fixture_id
2025-11-28	pro league	KV Mechelen	Standard Liege	144	266	733	1382547
2025-11-28	serie a brazil	Juventude	Bahia	71	152	118	1478033
2025-11-28	serie a brazil	Vasco DA Gama	Internacional	71	133	119	1478035
2025-11-28	superligaen	Nyiregyhaza	Debreceni VSC	271	2403	2392	1380261
2025-11-28	championship	Oxford United	Ipswich	40	1338	57	1386761
2025-11-28	coupe de france	Concarneau	Stade Briochin	66	1300	3229	1486793
2025-11-28	coupe de france	Annecy	Grenoble	66	3012	101	1486783
2025-11-28	coupe de france	Sarreguemines	Nancy	66	3113	102	1486818
2025-11-28	ligue 1	Metz	Rennes	61	112	94	1387820
2025-11-28	2. bundesliga	Hannover 96	Karlsruher SC	79	166	785	1388735
2025-11-28	2. bundesliga	FC Schalke 04	SC Paderborn 07	79	174	185	1388738
2025-11-28	bundesliga	Borussia Mönchengladbach	RB Leipzig	78	163	173	1388409
2025-11-28	serie a italia	Como	Sassuolo	135	895	488	1377986
2025-11-28	serie b	Cesena	Modena	136	509	899	1419725
2025-11-28	liga mx	Guadalajara Chivas	Cruz Azul	262	2278	2295	1485999
2025-11-28	eredivisie	PEC Zwolle	Heerenveen	88	193	210	1380992
2025-11-28	liga portugal	Guimaraes	AVS	94	224	21595	1396344
2025-11-28	scottish cup	Linlithgow Rose	Queen's Park	181	6744	6778	1484094
2025-11-28	laliga	Getafe	Elche	140	546	797	1390952
2025-11-28	laliga2	Sporting Gijon	FC Andorra	141	731	8157	1396964
2025-11-28	super lig	Kocaelispor	Genclerbirligi	203	7411	997	1394555
2025-11-28	cymru premier league	The New Saints	Caernarfon Town	110	354	356	1401115
2025-11-28	cymru premier league	Barry Town	Haverfordwest County AFC	110	361	2194	1401116
