# date	league	home	away	league_id	home_id	away_id	fixture_id
2026-01-04	championship	Birmingham	Coventry	40	54	1346	1386858
2026-01-04	championship	QPR	Sheffield Wednesday	40	72	74	1386852
2026-01-04	championship	Sheffield Utd	Oxford United	40	62	1338	1386856
2026-01-04	championship	Blackburn	Charlton	40	67	1335	1386853
2026-01-04	championship	Bristol City	Preston	40	56	59	1386859
2026-01-04	championship	Derby	Wrexham	40	69	1837	1386851
2026-01-04	championship	Hull City	Watford	40	64	38	1386854
2026-01-04	championship	Middlesbrough	Southampton	40	70	41	1386855
2026-01-04	championship	Millwall	Swansea	40	58	76	1386862
2026-01-04	championship	Norwich	Stoke City	40	71	75	1386860
2026-01-04	championship	Portsmouth	Ipswich	40	1355	57	1386857
2026-01-04	laliga	Sevilla	Levante	140	536	539	1390998
2026-01-04	laliga	Real Madrid	Real Betis	140	541	543	1390996
2026-01-04	laliga	Alaves	Oviedo	140	542	718	1390989
2026-01-04	laliga	Mallorca	Girona	140	798	547	1390993
2026-01-04	laliga	Real Sociedad	Atletico Madrid	140	548	530	1390997
2026-01-04	laliga2	Sporting Gijon	Malaga	141	731	535	1391975
2026-01-04	laliga2	AD Ceuta FC	FC Andorra	141	10139	8157	1396968
2026-01-04	laliga2	Albacete	Leganes	141	722	537	1391979
2026-01-04	laliga2	Zaragoza	Las Palmas	141	732	534	1391983
2026-01-04	laliga2	Deportivo La Coruna	Cadiz	141	544	724	1391981
2026-01-04	liga portugal	Rio Ave	Casa Pia	94	226	4716	1396386
2026-01-04	liga portugal	Santa Clara	FC Porto	94	227	212	1396387
2026-01-04	liga portugal	Alverca	Famalicao	94	4724	242	1396382
2026-01-04	liga portugal 2	Penafiel	Pacos Ferreira	95	235	234	1398118
2026-01-04	liga portugal 2	Sporting CP B	Academico Viseu	95	761	238	1398120
2026-01-04	ligue 1	Marseille	Nantes	61	81	83	1387846
2026-01-04	ligue 1	Le Havre	Angers	61	111	77	1387843
2026-01-04	ligue 1	Lorient	Metz	61	97	112	1387845
2026-01-04	ligue 1	Stade Brestois 29	Auxerre	61	106	108	1387842
2026-01-04	ligue 1	Paris Saint Germain	Paris FC	61	85	114	1387849
2026-01-04	premier league	Leeds	Manchester United	39	63	33	1379164
2026-01-04	premier league	Everton	Brentford	39	45	55	1379162
2026-01-04	premier league	Newcastle	Crystal Palace	39	34	52	1379166
2026-01-04	premier league	Tottenham	Sunderland	39	47	746	1379167
2026-01-04	premier league	Fulham	Liverpool	39	36	40	1379163
2026-01-04	premier league	Manchester City	Chelsea	39	50	49	1379165
2026-01-04	saudi arabia	Al-Hazm	NEOM	307	2945	10513	1436024
2026-01-04	saudi arabia	Al-Qadisiyah FC	Al Riyadh	307	2933	10511	1436028
2026-01-04	saudi arabia	Damac	Al-Hilal Saudi FC	307	2956	2932	1436026
2026-01-04	serie a italia	Lazio	Napoli	135	487	492	1378041
2026-01-04	serie a italia	Fiorentina	Cremonese	135	502	520	1378037
2026-01-04	serie a italia	Verona	Torino	135	504	503	1378043
2026-01-04	serie a italia	Inter	Bologna	135	505	500	1378039
