# date	league	home	away	league_id	home_id	away_id	fixture_id
2026-01-02	laliga	Rayo Vallecano	Getafe	140	728	546	1390995
2026-01-02	laliga2	Eibar	Mirandes	141	545	799	1391982
2026-01-02	liga portugal	GIL Vicente	Sporting CP	94	762	228	1396385
2026-01-02	liga portugal	Guimaraes	Nacional	94	224	225	1396389
2026-01-02	ligue 1	Toulouse	Lens	61	96	116	1387850
2026-01-02	saudi arabia	Al Najma	Al Khaleej Saihat	307	2992	2928	1436029
2026-01-02	saudi arabia	Al-Ettifaq	Al Okhdood	307	2934	2977	1436027
2026-01-02	saudi arabia	Al-Ahli Jeddah	Al-Nassr	307	2929	2939	1436023
2026-01-02	serie a italia	Cagliari	AC Milan	135	490	489	1378035
