# date	league	home	away	league_id	home_id	away_id	fixture_id
2026-02-12	belgian cup	Antwerp	Anderlecht	147	740	554	1508603
2026-02-12	copa del rey	Atletico Madrid	Barcelona	143	530	529	1520391
2026-02-12	liga profesional argentina	Tigre	Aldosivi	128	452	463	1491891
2026-02-12	premier league	Brentford	Arsenal	39	55	42	1379220
2026-02-12	primera a colombia	Millonarios	Rionegro Aguilas	239	1125	1144	1505981
2026-02-12	primera a colombia	Internacional de Bogota	Deportivo Cali	239	1134	1127	1505980
2026-02-12	primera a colombia	Chico	Jaguares	239	1132	1133	1505983
2026-02-12	saudi arabia	Damac	Al Taawon	307	2956	2936	1436109
2026-02-12	saudi arabia	Al-Hazm	Al Okhdood	307	2945	2977	1436105
2026-02-12	saudi arabia	Al-Qadisiyah FC	NEOM	307	2933	10513	1436104
2026-02-12	serie a brazil	Atletico-MG	remo	71	1062	1198	1492131
2026-02-12	serie a brazil	Sao Paulo	Gremio	71	126	130	1492137
2026-02-12	serie a brazil	Vasco DA Gama	Bahia	71	133	118	1492138
2026-02-12	serie a brazil	Atletico Paranaense	Santos	71	134	128	1492130
2026-02-12	serie a brazil	Fluminense	Botafogo	71	124	120	1492134
2026-02-12	super league switzerland	FC Sion	FC Basel 1893	207	630	551	1494540
2026-02-12	super league switzerland	FC Thun	Lausanne	207	1012	1014	1494541
