TSV:	2026-01-20	16:30	uefa champions league	Kairat Almaty (36) vs Club Brugge KV (31)	HT+0.5	MEGA EXPLOSION [R:36-31]           	1.29
TSV:	2026-01-20	18:45	uefa champions league	Bodo/Glimt (32) vs Manchester City (4)	HT+0.5	TRÈS FORT [R:32-4]                 	1.2
TSV:	2026-01-20	20:45	championship	Charlton (19) vs Derby (13)	HT+0.5	MEGA EXPLOSION [R:19-13]           	1.5
TSV:	2026-01-20	20:45	championship	Swansea (17) vs Blackburn (20)	HT+0.5	FORT PLUS [R:17-20]                	1.43
TSV:	2026-01-20	20:45	championship	Ipswich (3) vs Bristol City (10)	HT+0.5	MEGA EXPLOSION [R:3-10]            	1.35
TSV:	2026-01-20	20:45	championship	Sheffield Wednesday (24) vs Birmingham (14)	HT+0.5	MEGA EXPLOSION [R:24-14]           	1.34
TSV:	2026-01-20	21:00	uefa champions league	Inter (6) vs Arsenal (1)	HT+0.5	FORT PLUS [R:6-1]                  	1.36
TSV:	2026-01-20	21:00	championship	Wrexham (9) vs Leicester (12)	HT+0.5	MEGA EXPLOSION [R:9-12]            	1.35
TSV:	2026-01-20	21:00	uefa champions league	FC Copenhagen (24) vs Napoli (23)	HT+0.5	EXPLOSION [R:24-23]                	1.35
TSV:	2026-01-20	21:00	uefa champions league	Olympiakos Piraeus (29) vs Bayer Leverkusen (20)	HT+0.5	MEGA EXPLOSION [R:29-20]           	1.33
TSV:	2026-01-20	21:00	uefa champions league	Sporting CP (14) vs Paris Saint Germain (3)	HT+0.5	MEGA EXPLOSION [R:14-3]            	1.25
TSV:	2026-01-20	21:00	uefa champions league	Villarreal (35) vs Ajax (34)	HT+0.5	MEGA EXPLOSION [R:35-34]           	1.22
TSV:	2026-01-20	21:00	uefa champions league	Real Madrid (7) vs Monaco (19)	HT+0.5	FORT PLUS [R:7-19]                 	1.2
