TSV:	2026-01-14	00:00	liga mx	Cruz Azul (6)	Atlas (14)	HT 1X Home	5.0	1.06	FORT PLUS [R:6-14]
TSV:	2026-01-14	02:06	liga mx	Pachuca (13)	Leon (8)	HT 1X Home	6.0	1.17	TRÈS FORT [R:13-8]
TSV:	2026-01-14	15:45	saudi arabia	Al-Qadisiyah FC (5)	Al-Fayha (12)	HT 1X Home	6.0	1.4	TRÈS FORT [R:5-12]
TSV:	2026-01-14	18:30	bundesliga	VfL Wolfsburg (11)	FC St. Pauli (17)	HT 1X Home	5.0	1.2	FORT PLUS [R:11-17]
TSV:	2026-01-14	18:30	serie a italia	Napoli (3)	Parma (14)	HT 1X Home	5.0	1.08	FORT PLUS [R:3-14]
TSV:	2026-01-14	20:30	belgian cup	Dender (—)	Union St. Gilloise (—)	HT 1X Home	5.0	1.57	FORT PLUS [R:—-—]
TSV:	2026-01-14	20:30	super league switzerland	Servette FC (10)	Lausanne (7)	HT 1X Home	6.0	1.22	TRÈS FORT [R:10-7]
TSV:	2026-01-14	20:30	super league switzerland	FC Sion (5)	FC Winterthur (12)	HT 1X Home	6.0	1.12	TRÈS FORT [R:5-12]
TSV:	2026-01-14	20:45	premiership	Heart Of Midlothian (1)	ST Mirren (10)	HT 1X Home	6.0	1.12	TRÈS FORT [R:1-10]
