TSV:	2026-01-10	fa cup	Cambridge United (—)	Birmingham (—)	HT 1X Home	6.0	TRÈS FORT [R:—-—]
TSV:	2026-01-10	fa cup	Tottenham (—)	Aston Villa (—)	HT 1X Home	6.0	TRÈS FORT [R:—-—]
TSV:	2026-01-10	laliga2	Real Sociedad II (18)	Albacete (17)	HT 1X Home	6.0	TRÈS FORT [R:18-17]
TSV:	2026-01-10	laliga2	Racing Santander (1)	Zaragoza (21)	HT 1X Home	6.0	TRÈS FORT [R:1-21]
TSV:	2026-01-10	liga mx	Guadalajara Chivas (2)	Pachuca (17)	HT 1X Home	6.0	TRÈS FORT [R:2-17]
TSV:	2026-01-10	liga mx	Atlas (7)	Puebla (6)	HT 1X Home	6.0	TRÈS FORT [R:7-6]
TSV:	2026-01-10	liga mx	Club Tijuana (12)	Club America (11)	HT 1X Home	6.0	TRÈS FORT [R:12-11]
TSV:	2026-01-10	serie b	Carrarese (12)	Bari (18)	HT 1X Home	6.0	TRÈS FORT [R:12-18]
TSV:	2026-01-10	serie b	Frosinone (1)	Catanzaro (5)	HT 1X Home	6.0	TRÈS FORT [R:1-5]
TSV:	2026-01-10	serie b	Juve Stabia (9)	Pescara (20)	HT 1X Home	6.0	TRÈS FORT [R:9-20]
TSV:	2026-01-10	bundesliga	SC Freiburg (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Hamburger SV (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:9-13]
TSV:	2026-01-10	bundesliga	Union Berlin (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	FSV Mainz 05 (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:8-18]
TSV:	2026-01-10	fa cup	Doncaster (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Southampton (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:—-—]
TSV:	2026-01-10	fa cup	Salford City (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Swindon Town (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:—-—]
TSV:	2026-01-10	laliga2	Mirandes (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Almeria (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:22-3]
TSV:	2026-01-10	laliga2	Burgos (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Eibar (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:10-13]
TSV:	2026-01-10	serie a italia	Udinese (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Pisa (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:10-20]
TSV:	2026-01-10	serie a italia	AS Roma (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Sassuolo (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:5-11]
TSV:	2026-01-10	serie b	Avellino (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Sampdoria (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:11-14]
TSV:	2026-01-10	serie b	Sudtirol (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Spezia (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:17-15]
TSV:	2026-01-10	serie b	Cesena (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	Empoli (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—) (—)	HT 1X Home	5.0	FORT PLUS [R:6-9]
TSV:	2026-01-10	bundesliga	SC Freiburg (8)	Hamburger SV (13)	HT 1X Home	5.0	FORT PLUS [R:8-13]
TSV:	2026-01-10	bundesliga	Union Berlin (9)	FSV Mainz 05 (16)	HT 1X Home	5.0	FORT PLUS [R:9-16]
TSV:	2026-01-10	fa cup	Doncaster (—)	Southampton (—)	HT 1X Home	5.0	FORT PLUS [R:—-—]
TSV:	2026-01-10	laliga2	Mirandes (22)	Almeria (3)	HT 1X Home	5.0	FORT PLUS [R:22-3]
TSV:	2026-01-10	laliga2	Burgos (8)	Eibar (16)	HT 1X Home	5.0	FORT PLUS [R:8-16]
TSV:	2026-01-10	serie b	Avellino (11)	Sampdoria (16)	HT 1X Home	5.0	FORT PLUS [R:11-16]
TSV:	2026-01-10	serie b	Sudtirol (14)	Spezia (17)	HT 1X Home	5.0	FORT PLUS [R:14-17]
TSV:	2026-01-10	serie b	Cesena (6)	Empoli (8)	HT 1X Home	5.0	FORT PLUS [R:6-8]
