# date	league	home	away	league_id	home_id	away_id	fixture_id
2026-02-21	2. bundesliga	Karlsruher SC	Holstein Kiel	79	785	191	1388817
2026-02-21	2. bundesliga	SV Darmstadt 98	Fortuna Düsseldorf	79	181	158	1388813
2026-02-21	2. bundesliga	SV Elversberg	Eintracht Braunschweig	79	1660	744	1388814
2026-02-21	2. bundesliga	FC Schalke 04	1. FC Magdeburg	79	174	179	1388820
2026-02-21	bundesliga	1. FC Köln	1899 Hoffenheim	78	192	167	1388507
2026-02-21	bundesliga	Bayern München	Eintracht Frankfurt	78	157	169	1388506
2026-02-21	bundesliga	Union Berlin	Bayer Leverkusen	78	182	168	1388513
2026-02-21	bundesliga	VfL Wolfsburg	FC Augsburg	78	161	170	1388514
2026-02-21	bundesliga	RB Leipzig	Borussia Dortmund	78	173	165	1388511
2026-02-21	championship	Hull City	QPR	40	64	72	1386939
2026-02-21	championship	Stoke City	Leicester	40	75	46	1386937
2026-02-21	championship	Swansea	Bristol City	40	76	56	1386946
2026-02-21	championship	West Brom	Coventry	40	60	1346	1386935
2026-02-21	championship	Middlesbrough	Oxford United	40	70	1338	1386941
2026-02-21	championship	Millwall	Portsmouth	40	58	1355	1386942
2026-02-21	championship	Norwich	Birmingham	40	71	54	1386945
2026-02-21	championship	Southampton	Charlton	40	41	1335	1386936
2026-02-21	championship	Watford	Derby	40	38	69	1386940
2026-02-21	championship	Wrexham	Ipswich	40	1837	57	1386943
2026-02-21	cymru premier league	Briton Ferry	Bala Town	110	2201	352	1508998
2026-02-21	cymru premier league	Barry Town	GAP Connah S Quay FC	110	361	357	1508968
2026-02-21	cymru premier league	Colwyn Bay	Penybont	110	5611	2191	1508969
2026-02-21	cymru premier league	Flint Town United	Cardiff MET	110	5614	353	1508999
2026-02-21	czech first league	FK Jablonec	Karviná	345	1122	3716	1384829
2026-02-21	czech first league	Hradec Králové	Zlin	345	3723	603	1384828
2026-02-21	czech first league	Slovácko	Pardubice	345	3719	3724	1384833
2026-02-21	czech first league	Slavia Praha	Slovan Liberec	345	560	782	1384832
2026-02-21	eredivisie	PSV Eindhoven	Heerenveen	88	197	210	1381079
2026-02-21	eredivisie	NAC Breda	FC Volendam	88	203	416	1381078
2026-02-21	eredivisie	Ajax	NEC Nijmegen	88	194	413	1381074
2026-02-21	laliga	Real Sociedad	Oviedo	140	548	718	1391067
2026-02-21	laliga	Real Betis	Rayo Vallecano	140	543	728	1391063
2026-02-21	laliga	Osasuna	Real Madrid	140	727	541	1391066
2026-02-21	laliga	Atletico Madrid	Espanyol	140	530	540	1391061
2026-02-21	laliga2	Leganes	Cultural Leonesa	141	537	725	1392058
2026-02-21	laliga2	Deportivo La Coruna	Eibar	141	544	545	1392061
2026-02-21	laliga2	Huesca	Mirandes	141	726	799	1392059
2026-02-21	laliga2	Almeria	Cordoba	141	723	713	1392057
2026-02-21	laliga2	Las Palmas	Castellón	141	534	5254	1392052
2026-02-21	liga mx	Tigres UANL	Pachuca	262	2279	2292	1492517
2026-02-21	liga mx	Puebla	Club America	262	2291	2287	1492518
2026-02-21	liga portugal	Alverca	Santa Clara	94	4724	227	1396435
2026-02-21	liga portugal	Arouca	Nacional	94	240	225	1396436
2026-02-21	liga portugal	Benfica	AVS	94	211	21595	1396437
2026-02-21	liga portugal	Moreirense	Sporting CP	94	215	228	1396443
2026-02-21	liga portugal	SC Braga	Guimaraes	94	217	224	1396438
2026-02-21	liga portugal 2	Torreense	Benfica B	95	4799	229	1398175
2026-02-21	liga portugal 2	Maritimo	Sporting CP B	95	214	761	1398172
2026-02-21	liga portugal 2	Oliveirense	União de Leiria	95	233	4662	1398173
2026-02-21	liga pro ecuador	Orense SC	LDU de Quito	242	1992	1158	1519262
2026-02-21	liga pro ecuador	Aucas	Mushuc Runa SC	242	1156	1162	1519256
2026-02-21	liga pro ecuador	Barcelona SC	Tecnico Universitario	242	1152	1151	1519257
2026-02-21	liga profesional argentina	Boca Juniors	Racing Club	128	451	436	1491895
2026-02-21	liga profesional argentina	Instituto Cordoba	Atletico Tucuman	128	478	455	1491902
2026-02-21	liga profesional argentina	Gimnasia M.	Gimnasia L.P.	128	1066	434	1491900
2026-02-21	liga profesional argentina	Rosario Central	Talleres Cordoba	128	437	456	1491904
2026-02-21	liga profesional argentina	Independ. Rivadavia	Independiente	128	473	453	1491901
2026-02-21	liga profesional argentina	Platense	Barracas Central	128	1064	2432	1491903
2026-02-21	liga profesional argentina	Banfield	Newells Old Boys	128	449	457	1491894
2026-02-21	liga profesional argentina	Deportivo Riestra	Huracan	128	476	445	1491898
2026-02-21	ligue 1	Lens	Monaco	61	116	91	1387899
2026-02-21	ligue 1	Toulouse	Paris FC	61	96	114	1387904
2026-02-21	ligue 1	Paris Saint Germain	Metz	61	85	112	1387902
2026-02-21	ligue 2	Estac Troyes	PAU	62	110	1297	1389322
2026-02-21	ligue 2	Reims	Amiens	62	93	87	1389325
2026-02-21	ligue 2	Saint Etienne	Laval	62	1063	433	1389328
2026-02-21	mls	St. Louis City	Charlotte	253	20787	18310	1490775
2026-02-21	mls	FC Cincinnati	Atlanta United FC	253	2242	1608	1490776
2026-02-21	premier league	Aston Villa	Leeds	39	66	63	1379229
2026-02-21	premier league	Brentford	Brighton	39	55	51	1379230
2026-02-21	premier league	Chelsea	Burnley	39	49	44	1379231
2026-02-21	premier league	West Ham	Bournemouth	39	48	35	1379238
2026-02-21	premier league	Manchester City	Newcastle	39	50	34	1379234
2026-02-21	premiership	Aberdeen	Dundee	179	252	253	1382828
2026-02-21	premiership	Dundee Utd	Kilmarnock	179	1386	250	1382830
2026-02-21	premiership	Heart Of Midlothian	Falkirk	179	254	1389	1382831
2026-02-21	premiership	ST Mirren	Motherwell	179	251	256	1382833
2026-02-21	primera a colombia	Llaneros	Independiente Medellin	239	1464	1128	1505997
2026-02-21	primera a colombia	Deportivo Pereira	Deportivo Pasto	239	1462	1126	1506005
2026-02-21	primera a colombia	Once Caldas	Fortaleza FC	239	1136	1147	1505999
2026-02-21	primera a colombia	Bucaramanga	Deportivo Cali	239	1131	1127	1506000
2026-02-21	primera división paraguay	2 de Mayo	Deportivo Recoleta	250	2140	10476	1504989
2026-02-21	primera división paraguay	Cerro Porteno	Olimpia	250	1176	1182	1504990
2026-02-21	pro league	Dender	St. Truiden	144	6215	735	1382632
2026-02-21	pro league	Club Brugge KV	OH Leuven	144	569	260	1382626
2026-02-21	pro league	Union St. Gilloise	Antwerp	144	1393	740	1382629
2026-02-21	saudi arabia	Al Khaleej Saihat	NEOM	307	2928	10513	1436116
2026-02-21	saudi arabia	Al-Hilal Saudi FC	Al-Ittihad FC	307	2932	2938	1436115
