O25_RANDOM_POOL_BASE — PLAYABLE PICKS GLOBAL
==========================================
Format TSV:
date	match_id	bet_family	time	league	home	away	odd	fixture_id	pipeline	source

# ------------------------------------------------------------------
# APPEND O25_RANDOM_POOL_BASE | 2026-04-18 14:59:59 | run_date=ALL | source=predictions.tsv
# ------------------------------------------------------------------
TSV: 2026-04-18	1535731201	O25_FT	15:30	bundesliga	1899 Hoffenheim	Borussia Dortmund	1.48	1388574	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3536764992	O25_FT	15:30	bundesliga	Bayer Leverkusen	FC Augsburg	1.44	1388569	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	108700397	O25_FT	16:00	super lig	Kocaelispor	Göztepe	2.62	1394700	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3161061394	O25_FT	16:00	super league greece	Atromitos	Larisa	2.45	1537086	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2530060852	O25_FT	16:00	russian premier league	Rubin	Akron	2.25	1400228	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1322766179	O25_FT	16:00	championship	Preston	West Brom	2.1	1387064	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2101065985	O25_FT	16:00	championship	Sheffield Wednesday	Charlton	2.05	1387055	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	440587155	O25_FT	16:00	pro league	Antwerp	OH Leuven	1.95	1536944	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	607596268	O25_FT	16:00	championship	Bristol City	Norwich	1.85	1387066	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1653485067	O25_FT	16:00	premier league	Leeds	Wolves	1.85	1379294	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	4085181231	O25_FT	16:00	championship	Hull City	Birmingham	1.83	1387060	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	526375822	O25_FT	16:00	championship	Watford	Sheffield Utd	1.83	1387058	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	573715850	O25_FT	16:00	championship	Swansea	Southampton	1.8	1387056	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2992952628	O25_FT	16:00	championship	Wrexham	Stoke City	1.8	1387062	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1011838576	O25_FT	16:00	hnl croatia	Dinamo Zagreb	HNK Rijeka	1.67	1384064	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2943805344	O25_FT	16:00	premier league	Newcastle	Bournemouth	1.48	1379296	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3949557800	O25_FT	16:15	laliga2	Zaragoza	AD Ceuta FC	1.83	1392156	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3708606306	O25_FT	16:30	liga portugal	Nacional	Alverca	1.83	1396504	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3788193104	O25_FT	17:00	austrian bundesliga	WSG Wattens	SCR Altach	2.15	1531270	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1604325673	O25_FT	17:00	super league greece	OFI	Levadiakos	2	1537112	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	400323580	O25_FT	17:00	superliga serbia	Novi Pazar	OFK Beograd	1.88	1540271	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1879221540	O25_FT	17:00	austrian bundesliga	Wolfsberger AC	FC BW Linz	1.85	1531271	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1151109285	O25_FT	17:00	superligaen	MTK Budapest	Kisvarda FC	1.85	1380350	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1007673204	O25_FT	17:00	ligue 1	Lorient	Marseille	1.67	1387962	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	938132835	O25_FT	17:00	superliga serbia	FK Crvena Zvezda	Vojvodina	1.5	1540269	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2006667283	O25_FT	17:15	serie b	Palermo	Cesena	1.7	1419934	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2246894741	O25_FT	17:30	ekstraklasa	Gornik Zabrze	Korona Kielce	1.83	1380638	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1997147813	O25_FT	18:00	serie a italia	Napoli	Lazio	2.2	1378188	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3085014402	O25_FT	18:00	super league greece	Aris Thessalonikis	Volos NFC	2	1537111	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2200622486	O25_FT	18:00	czech first league	Sparta Praha	FK Jablonec	1.73	1384889	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2574332501	O25_FT	18:15	pro league	Charleroi	Standard Liege	1.95	1536943	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3930957098	O25_FT	18:15	cymru premier league	Bala Town	Briton Ferry	1.8	1509015	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	33775045	O25_FT	18:15	cymru premier league	Cardiff MET	Flint Town United	1.8	1509016	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1294013674	O25_FT	18:15	cymru premier league	GAP Connah S Quay FC	Colwyn Bay	1.73	1508987	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2448996795	O25_FT	18:15	pro league	KVC Westerlo	Genk	1.7	1536942	O25_RANDOM_POOL_BASE	predictions.tsv
