# date | league | home vs away | reason
2025-11-30 | laliga2 | Racing Santander vs Eibar | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | laliga2 | Cordoba vs Cadiz | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | laliga2 | Mirandes vs Real Sociedad II | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | laliga2 | Castellón vs Las Palmas | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga i romania | AFC Hermannstadt vs Uta Arad | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga i romania | Unirea Slobozia vs FC Botosani | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga i romania | Farul Constanta vs FCSB | FIXTURE_NOT_FOUND_ROBUST
2025-11-29 | liga mx | Club America vs Monterrey | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga mx | Toluca vs FC Juarez | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga mx | Tigres UANL vs Club Tijuana | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga portugal | Rio Ave vs Santa Clara | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga portugal | Sporting CP vs Estrela | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga portugal | FC Porto vs Estoril | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga portugal 2 | FC Porto B vs Lusitânia Lourosa | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga portugal 2 | Torreense vs Chaves | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga portugal 2 | Portimonense vs Maritimo | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga portugal 2 | Sporting CP B vs Farense | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga portugal 2 | União de Leiria vs Benfica B | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga pro ecuador | Libertad vs Barcelona SC | FIXTURE_NOT_FOUND_ROBUST
