league	bet_a	bet_b	n_pair	phi	p_b_given_a	p_b	lift	joint_rate
schweizer cup	O15_FT	HT05	4	0.0	1.0	1.0	1.0	1.0
schweizer cup	O15_FT	HT1X_HOME	4	0.0	0.75	0.75	1.0	0.75
schweizer cup	O15_FT	TEAM1_SCORE_FT	4	0.0	1.0	1.0	1.0	1.0
schweizer cup	O15_FT	TEAM2_SCORE_FT	4	0.0	1.0	1.0	1.0	1.0
schweizer cup	HT05	HT1X_HOME	4	0.0	0.75	0.75	1.0	0.75
schweizer cup	HT05	TEAM1_SCORE_FT	4	0.0	1.0	1.0	1.0	1.0
schweizer cup	HT05	TEAM2_SCORE_FT	4	0.0	1.0	1.0	1.0	1.0
schweizer cup	HT1X_HOME	TEAM1_SCORE_FT	4	0.0	1.0	1.0	1.0	0.75
schweizer cup	HT1X_HOME	TEAM2_SCORE_FT	4	0.0	1.0	1.0	1.0	0.75
schweizer cup	TEAM1_SCORE_FT	TEAM2_SCORE_FT	4	0.0	1.0	1.0	1.0	1.0
scottish cup	O15_FT	HT05	20	0.514496	0.705882	0.6	1.176471	0.6
scottish cup	O15_FT	TEAM2_SCORE_FT	20	0.514496	0.705882	0.6	1.176471	0.6
scottish cup	HT05	HT1X_HOME	20	-0.408248	0.666667	0.8	0.833333	0.4
scottish cup	HT05	TEAM1_SCORE_FT	20	0.408248	1.0	0.9	1.111111	0.6
scottish cup	HT1X_HOME	TEAM2_SCORE_FT	20	-0.408248	0.5	0.6	0.833333	0.4
scottish cup	HT05	TEAM2_SCORE_FT	20	0.375	0.75	0.6	1.25	0.45
scottish cup	O15_FT	TEAM1_SCORE_FT	20	0.326732	0.941176	0.9	1.045752	0.8
scottish cup	O15_FT	HT1X_HOME	20	-0.210042	0.764706	0.8	0.955882	0.65
scottish cup	HT1X_HOME	TEAM1_SCORE_FT	20	-0.166667	0.875	0.9	0.972222	0.7
scottish cup	TEAM1_SCORE_FT	TEAM2_SCORE_FT	20	0.068041	0.611111	0.6	1.018519	0.55
serie a brazil	O15_FT	TEAM1_SCORE_FT	20	0.801784	1.0	0.7	1.428571	0.6
serie a brazil	HT05	TEAM2_SCORE_FT	20	0.434634	0.846154	0.7	1.208791	0.55
serie a brazil	HT05	HT1X_HOME	20	-0.423659	0.615385	0.75	0.820513	0.4
serie a brazil	HT1X_HOME	TEAM1_SCORE_FT	20	0.377964	0.8	0.7	1.142857	0.6
serie a brazil	HT1X_HOME	TEAM2_SCORE_FT	20	-0.377964	0.6	0.7	0.857143	0.45
serie a brazil	O15_FT	TEAM2_SCORE_FT	20	0.356348	0.833333	0.7	1.190476	0.5
serie a brazil	O15_FT	HT1X_HOME	20	0.235702	0.833333	0.75	1.111111	0.5
serie a brazil	HT05	TEAM1_SCORE_FT	20	0.205879	0.769231	0.7	1.098901	0.5
serie a brazil	TEAM1_SCORE_FT	TEAM2_SCORE_FT	20	0.047619	0.714286	0.7	1.020408	0.5
serie a brazil	O15_FT	HT05	20	0.042796	0.666667	0.65	1.025641	0.4
serie a italia	O15_FT	TEAM2_SCORE_FT	86	0.564854	0.835821	0.697674	1.19801	0.651163
serie a italia	HT05	HT1X_HOME	86	-0.470025	0.525424	0.674419	0.779077	0.360465
serie a italia	HT1X_HOME	TEAM2_SCORE_FT	86	-0.457379	0.551724	0.697674	0.790805	0.372093
serie a italia	O15_FT	HT05	86	0.424848	0.791045	0.686047	1.153048	0.616279
serie a italia	HT1X_HOME	TEAM1_SCORE_FT	86	0.322375	0.862069	0.767442	1.123302	0.581395
serie a italia	O15_FT	HT1X_HOME	86	-0.31019	0.597015	0.674419	0.885229	0.465116
serie a italia	O15_FT	TEAM1_SCORE_FT	86	0.303945	0.835821	0.767442	1.0891	0.651163
serie a italia	HT05	TEAM2_SCORE_FT	86	0.209336	0.762712	0.697674	1.09322	0.523256
serie a italia	HT05	TEAM1_SCORE_FT	86	0.102063	0.79661	0.767442	1.038007	0.546512
serie a italia	TEAM1_SCORE_FT	TEAM2_SCORE_FT	86	-0.062718	0.681818	0.697674	0.977273	0.523256
serie b	O15_FT	TEAM2_SCORE_FT	66	0.598134	0.826087	0.636364	1.298137	0.575758
serie b	O15_FT	HT05	66	0.540531	0.847826	0.681818	1.243478	0.590909
serie b	O15_FT	TEAM1_SCORE_FT	66	0.502408	0.934783	0.80303	1.164069	0.651515
serie b	HT05	TEAM2_SCORE_FT	66	0.430331	0.777778	0.636364	1.222222	0.530303
serie b	HT05	TEAM1_SCORE_FT	66	0.397814	0.911111	0.80303	1.134591	0.621212
serie b	HT1X_HOME	TEAM2_SCORE_FT	66	-0.374382	0.54717	0.636364	0.859838	0.439394
serie b	HT05	HT1X_HOME	66	-0.338327	0.711111	0.80303	0.885535	0.484848
