league	bet_a	bet_b	n_pair	phi	p_b_given_a	p_b	lift	joint_rate
copa del rey	HT05	TEAM2_SCORE_FT	18	0.395285	1.0	0.888889	1.125	0.555556
copa del rey	TEAM1_SCORE_FT	TEAM2_SCORE_FT	18	-0.282038	0.818182	0.888889	0.920455	0.5
copa del rey	HT1X_HOME	TEAM1_SCORE_FT	18	0.268566	0.692308	0.611111	1.132867	0.5
copa del rey	O15_FT	HT1X_HOME	18	-0.219265	0.6875	0.722222	0.951923	0.611111
copa del rey	HT1X_HOME	TEAM2_SCORE_FT	18	-0.219265	0.846154	0.888889	0.951923	0.611111
copa del rey	HT05	TEAM1_SCORE_FT	18	0.203859	0.7	0.611111	1.145455	0.388889
copa del rey	O15_FT	TEAM2_SCORE_FT	18	-0.125	0.875	0.888889	0.984375	0.777778
coupe de france	HT05	HT1X_HOME	32	-0.57735	0.333333	0.5	0.666667	0.25
coupe de france	HT1X_HOME	TEAM2_SCORE_FT	32	-0.57735	0.5	0.75	0.666667	0.25
coupe de france	O15_FT	HT05	32	0.546594	0.851852	0.75	1.135802	0.71875
coupe de france	O15_FT	TEAM2_SCORE_FT	32	0.546594	0.851852	0.75	1.135802	0.71875
coupe de france	HT05	TEAM2_SCORE_FT	32	0.5	0.875	0.75	1.166667	0.65625
coupe de france	O15_FT	HT1X_HOME	32	-0.430331	0.407407	0.5	0.814815	0.34375
coupe de france	O15_FT	TEAM1_SCORE_FT	32	0.345005	0.666667	0.59375	1.122807	0.5625
coupe de france	HT1X_HOME	TEAM1_SCORE_FT	32	0.318142	0.75	0.59375	1.263158	0.375
coupe de france	HT05	TEAM1_SCORE_FT	32	0.110208	0.625	0.59375	1.052632	0.46875
coupe de france	TEAM1_SCORE_FT	TEAM2_SCORE_FT	32	-0.036736	0.736842	0.75	0.982456	0.4375
cymru premier league	HT05	TEAM1_SCORE_FT	21	0.67082	0.866667	0.666667	1.3	0.619048
cymru premier league	O15_FT	TEAM2_SCORE_FT	21	0.583001	0.9375	0.809524	1.158088	0.714286
cymru premier league	HT05	HT1X_HOME	21	-0.447214	0.533333	0.666667	0.8	0.380952
cymru premier league	O15_FT	HT1X_HOME	21	-0.395285	0.5625	0.666667	0.84375	0.428571
cymru premier league	O15_FT	HT05	21	0.388909	0.8125	0.714286	1.1375	0.619048
cymru premier league	HT1X_HOME	TEAM2_SCORE_FT	21	-0.342997	0.714286	0.809524	0.882353	0.47619
cymru premier league	O15_FT	TEAM1_SCORE_FT	21	0.316228	0.75	0.666667	1.125	0.571429
cymru premier league	TEAM1_SCORE_FT	TEAM2_SCORE_FT	21	-0.085749	0.785714	0.809524	0.970588	0.52381
cymru premier league	HT1X_HOME	TEAM1_SCORE_FT	21	-0.071429	0.642857	0.666667	0.964286	0.428571
cymru premier league	HT05	TEAM2_SCORE_FT	21	-0.038348	0.8	0.809524	0.988235	0.571429
czech first league	HT1X_HOME	TEAM2_SCORE_FT	16	-0.6742	0.272727	0.5	0.545455	0.1875
czech first league	O15_FT	TEAM2_SCORE_FT	16	0.480384	0.615385	0.5	1.230769	0.5
czech first league	HT05	HT1X_HOME	16	-0.454545	0.545455	0.6875	0.793388	0.375
czech first league	O15_FT	HT05	16	0.367058	0.769231	0.6875	1.118881	0.625
czech first league	O15_FT	HT1X_HOME	16	-0.323875	0.615385	0.6875	0.895105	0.5
czech first league	TEAM1_SCORE_FT	TEAM2_SCORE_FT	16	-0.288675	0.416667	0.5	0.833333	0.3125
czech first league	HT05	TEAM1_SCORE_FT	16	0.23355	0.818182	0.75	1.090909	0.5625
czech first league	HT1X_HOME	TEAM1_SCORE_FT	16	0.23355	0.818182	0.75	1.090909	0.5625
czech first league	HT05	TEAM2_SCORE_FT	16	0.13484	0.545455	0.5	1.090909	0.375
czech first league	O15_FT	TEAM1_SCORE_FT	16	0.09245	0.769231	0.75	1.025641	0.625
dfb pokal	HT05	TEAM2_SCORE_FT	4	-0.57735	0.0	0.5	0.0	0.0
dfb pokal	TEAM1_SCORE_FT	TEAM2_SCORE_FT	4	-0.57735	0.333333	0.5	0.666667	0.25
dfb pokal	HT05	TEAM1_SCORE_FT	4	0.333333	1.0	0.75	1.333333	0.25
dfb pokal	O15_FT	HT05	4	0.0	0.25	0.25	1.0	0.25
dfb pokal	O15_FT	HT1X_HOME	4	0.0	1.0	1.0	1.0	1.0
dfb pokal	O15_FT	TEAM1_SCORE_FT	4	0.0	0.75	0.75	1.0	0.75
dfb pokal	O15_FT	TEAM2_SCORE_FT	4	0.0	0.5	0.5	1.0	0.5
dfb pokal	HT05	HT1X_HOME	4	0.0	1.0	1.0	1.0	0.25
dfb pokal	HT1X_HOME	TEAM1_SCORE_FT	4	0.0	0.75	0.75	1.0	0.75
dfb pokal	HT1X_HOME	TEAM2_SCORE_FT	4	0.0	0.5	0.5	1.0	0.5
eredivisie	O15_FT	TEAM1_SCORE_FT	46	0.763668	0.973684	0.847826	1.148448	0.804348
eredivisie	O15_FT	TEAM2_SCORE_FT	46	0.453423	0.868421	0.782609	1.109649	0.717391
eredivisie	HT05	HT1X_HOME	46	-0.372877	0.617647	0.717391	0.860963	0.456522
eredivisie	HT1X_HOME	TEAM2_SCORE_FT	46	-0.330798	0.69697	0.782609	0.890572	0.5
eredivisie	HT05	TEAM1_SCORE_FT	46	0.299632	0.911765	0.847826	1.075415	0.673913
eredivisie	O15_FT	HT05	46	0.249871	0.789474	0.73913	1.068111	0.652174
eredivisie	TEAM1_SCORE_FT	TEAM2_SCORE_FT	46	0.216908	0.820513	0.782609	1.048433	0.695652
eredivisie	HT05	TEAM2_SCORE_FT	46	0.166993	0.823529	0.782609	1.052288	0.608696
eredivisie	HT1X_HOME	TEAM1_SCORE_FT	46	0.137337	0.878788	0.847826	1.036519	0.630435
eredivisie	O15_FT	HT1X_HOME	46	-0.033229	0.710526	0.717391	0.990431	0.586957
fa cup	O15_FT	TEAM2_SCORE_FT	51	0.884861	1.0	0.921569	1.085106	0.901961
fa cup	O15_FT	HT05	51	0.634962	0.934783	0.862745	1.083498	0.843137
fa cup	HT05	TEAM2_SCORE_FT	51	0.519464	0.977273	0.921569	1.060445	0.843137
fa cup	HT05	HT1X_HOME	51	-0.333712	0.522727	0.588235	0.888636	0.45098
fa cup	HT1X_HOME	TEAM1_SCORE_FT	51	0.296435	0.933333	0.843137	1.106977	0.54902
fa cup	O15_FT	HT1X_HOME	51	-0.275839	0.543478	0.588235	0.923913	0.490196
fa cup	HT1X_HOME	TEAM2_SCORE_FT	51	-0.244079	0.866667	0.921569	0.940426	0.509804
fa cup	O15_FT	TEAM1_SCORE_FT	51	0.220419	0.869565	0.843137	1.031345	0.784314
fa cup	HT05	TEAM1_SCORE_FT	51	0.14132	0.863636	0.843137	1.024313	0.745098
fa cup	TEAM1_SCORE_FT	TEAM2_SCORE_FT	51	0.074713	0.930233	0.921569	1.009401	0.784314
laliga	O15_FT	TEAM2_SCORE_FT	56	0.528681	0.897959	0.821429	1.093168	0.785714
laliga	HT05	HT1X_HOME	56	-0.40452	0.657143	0.785714	0.836364	0.410714
laliga	O15_FT	TEAM1_SCORE_FT	56	0.387699	0.877551	0.821429	1.068323	0.767857
laliga	HT05	TEAM1_SCORE_FT	56	0.313003	0.914286	0.821429	1.113043	0.571429
laliga	HT1X_HOME	TEAM2_SCORE_FT	56	-0.243492	0.772727	0.821429	0.940711	0.607143
laliga	HT05	TEAM2_SCORE_FT	56	0.216695	0.885714	0.821429	1.078261	0.553571
laliga	O15_FT	HT05	56	0.153356	0.653061	0.625	1.044898	0.571429
laliga	HT1X_HOME	TEAM1_SCORE_FT	56	0.097397	0.840909	0.821429	1.023715	0.660714
laliga	O15_FT	HT1X_HOME	56	-0.065795	0.77551	0.785714	0.987013	0.678571
laliga	TEAM1_SCORE_FT	TEAM2_SCORE_FT	56	0.026087	0.826087	0.821429	1.005671	0.678571
laliga2	O15_FT	HT05	61	0.587125	0.851064	0.704918	1.207323	0.655738
laliga2	O15_FT	TEAM2_SCORE_FT	61	0.558908	0.829787	0.688525	1.205167	0.639344
laliga2	O15_FT	TEAM1_SCORE_FT	61	0.542414	0.957447	0.852459	1.123159	0.737705
laliga2	HT05	TEAM1_SCORE_FT	61	0.440304	0.953488	0.852459	1.118515	0.672131
laliga2	HT1X_HOME	TEAM2_SCORE_FT	61	-0.350028	0.604167	0.688525	0.87748	0.47541
laliga2	HT05	HT1X_HOME	61	-0.336708	0.697674	0.786885	0.886628	0.491803
laliga2	O15_FT	HT1X_HOME	61	-0.284031	0.723404	0.786885	0.919326	0.557377
