   # │ Jour       │         RAND SAFE(3)         │         RAND NORM(4)         │         SYS SAFE(4)          │         SYS NORM(4)          │      Rés
   1 │ 01-15      │ ✅      14€ →      123€ │ ✅       7€ →      111€ │ ✅       7€ →      111€ │ ✅       7€ →      111€ │    6514€
   2 │ 01-16      │ ✅      18€ →      150€ │ ✅       7€ →      122€ │ ❌       7€ →      103€ │ ❌       7€ →      103€ │    6514€
   3 │ 01-20      │ ✅      21€ →      181€ │ ✅       8€ →      134€ │ ✅      15€ →      125€ │ ✅      15€ →      125€ │    6514€
   4 │ 01-21      │ ✅      26€ →     1427€ 💰 │ ✅       9€ →      147€ │ ❌       8€ →      116€ │ ❌       8€ →      116€ │    6634€
   5 │ 01-22      │ ✅     204€ →     1800€ │ ✅      10€ →      165€ │ ✅      17€ →      152€ │ ✅      17€ →      152€ │    6634€
   6 │ 01-23      │ ❌     257€ →     1543€ │ ❌      11€ →      154€ │ ✅      10€ →      167€ │ ✅      10€ →      167€ │    6634€
   7 │ 01-24      │ ✅     514€ →     2315€ │ ✅      22€ →      187€ │ ✅      11€ →      183€ │ ✅      11€ →      183€ │    6634€
   8 │ 01-24      │ ✅     331€ →     2804€ │ ✅      12€ →      206€ │ ❌      12€ →      171€ │ ❌      12€ →      171€ │    6634€
   9 │ 01-24      │ ✅     401€ →     1852€ 💰 │ ✅      14€ →      228€ │ ✅      24€ →     1448€ 💰 │ ✅      24€ →      206€ │    8760€
  10 │ 01-25      │ ✅     265€ →     2263€ │ ✅      15€ →      251€ │ ✅      97€ →     1600€ │ ✅      14€ →      227€ │    8760€
  11 │ 01-25      │ ❌     323€ →     1940€ │ ❌      17€ →      235€ │ ❌     107€ →     1493€ │ ❌      15€ →      212€ │    8760€
  12 │ 01-25      │ ✅     647€ →     2939€ │ ✅      34€ →      286€ │ ✅     213€ →     1808€ │ ✅      30€ →      257€ │    8760€
  13 │ 01-26      │ ✅     420€ →     3528€ │ ✅      19€ →      313€ │ ❌     121€ →     1688€ │ ❌      17€ →      240€ │    8760€
  14 │ 01-28      │ ✅     504€ →     2331€ 💰 │ ✅      21€ →      343€ │ ✅     241€ →     2058€ │ ✅      34€ →      292€ │   11155€
  15 │ 01-29      │ ✅     333€ →     2978€ │ ✅      23€ →      387€ │ ✅     137€ →     2270€ │ ✅      19€ →      323€ │   11155€
  16 │ 01-30      │ ❌     425€ →     2553€ │ ❌      26€ →      361€ │ ✅     151€ →     2606€ │ ✅      22€ →      370€ │   11155€
  17 │ 01-31      │ ✅     851€ →     3779€ │ ✅      52€ →      436€ │ ✅     174€ →     2876€ │ ✅      25€ →      409€ │   11155€
  18 │ 01-31      │ ✅     540€ →     4555€ │ ✅      29€ →      478€ │ ❌     192€ →     2684€ │ ❌      27€ →      382€ │   11155€
  19 │ 01-31      │ ✅     651€ →     3319€ 💰 │ ✅      32€ →      523€ │ ✅     383€ →     2689€ 💰 │ ✅      55€ →      460€ │   16093€
  20 │ 02-01      │ ❌     474€ →     2845€ │ ❌      35€ →      488€ │ ✅     179€ →     2983€ │ ✅      31€ →      510€ │   16093€
  21 │ 02-01      │ ✅     948€ →     4343€ │ ✅      70€ →      598€ │ ✅     199€ →     3315€ │ ✅      34€ →      567€ │   16093€
  22 │ 02-01      │ ❌     620€ →     3723€ │ ❌      40€ →      558€ │ ✅     221€ →     3631€ │ ✅      38€ →      621€ │   16093€
  23 │ 02-02      │ ✅    1241€ →     5789€ │ ✅      80€ →      691€ │ ❌     242€ →     3389€ │ ❌      41€ →      580€ │   16093€
  24 │ 02-04      │ ✅     827€ →     6520€ │ ✅      46€ →      732€ │ ✅     484€ →     4128€ │ ✅      83€ →      706€ │   16093€
  25 │ 02-05      │ ✅     931€ →     4200€ 💰 │ ✅      49€ →      795€ │ ✅     275€ →     4524€ │ ✅      47€ →      774€ │   20500€
  26 │ 02-06      │ ❌     600€ →     3600€ │ ❌      53€ →      742€ │ ❌     302€ →     4222€ │ ❌      52€ →      722€ │   20500€
  27 │ 02-07      │ ✅    1200€ →     5339€ │ ✅     106€ →      896€ │ ❌     603€ →     3619€ │ ❌     103€ →      619€ │   20500€
  28 │ 02-07      │ ✅     763€ →     6466€ │ ✅      60€ →      984€ │ ✅    1206€ →     4756€ 💰 │ ✅     206€ →      936€ │   23282€
  29 │ 02-07      │ ❌     924€ →     5543€ │ ❌      66€ →      918€ │ ❌     317€ →     4439€ │ ❌      62€ →      874€ │   23282€
  30 │ 02-07      │ ✅    1848€ →     5597€ 💰 │ ✅     131€ →     1121€ │ ✅     634€ →     5329€ │ ✅     125€ →     1049€ │   27484€
  31 │ 02-08      │ ✅     800€ →     6806€ │ ✅      75€ →     1234€ │ ✅     355€ →     5897€ │ ✅      70€ →     1161€ │   27484€
  32 │ 02-08      │ ✅     972€ →     8174€ │ ✅      82€ →     1350€ │ ✅     393€ →     6495€ │ ✅      77€ →     1278€ │   27484€
  33 │ 02-08      │ ✅    1168€ →     9827€ │ ✅      90€ →     1478€ │ ✅     433€ →     6947€ │ ✅      85€ →     1367€ │   27484€
  34 │ 02-09      │ ✅    1404€ →     6985€ 💰 │ ✅      99€ →     1668€ │ ❌     463€ →     6484€ │ ❌      91€ →     1276€ │   34427€
  35 │ 02-10      │ ❌     998€ →     5987€ │ ❌     111€ →     1557€ │ ✅     926€ →     7799€ │ ✅     182€ →     1535€ │   34427€
  36 │ 02-11      │ ✅    1996€ →     8969€ │ ✅     222€ →     1889€ │ ✅     520€ →     8664€ │ ✅     102€ →     1705€ │   34427€
  37 │ 02-12      │ ✅    1281€ →    11061€ │ ✅     126€ →     2095€ │ ✅     578€ →     7947€ 💰 │ ✅     114€ →     1883€ │   39235€
  38 │ 02-13      │ ❌    1580€ →     9481€ │ ❌     140€ →     1955€ │ ✅     530€ →     8714€ │ ✅     126€ →     2064€ │   39235€
  39 │ 02-14      │ ❌    3160€ →     6320€ │ ❌     279€ →     1676€ │ ✅     581€ →     9542€ │ ✅     138€ →     2260€ │   39235€
  40 │ 02-14      │ ✅    6320€ →     9767€ 💰 │ ✅     559€ →     2538€ │ ✅     636€ →    10434€ │ ✅     151€ →     2472€ │   48333€
  41 │ 02-14      │ ✅    1395€ →    12126€ │ ✅     169€ →     2825€ │ ❌     696€ →     9738€ │ ❌     165€ →     2307€ │   48333€
