   # │ Jour       │         RAND SAFE(3)         │         RAND NORM(4)         │         SYS SAFE(4)          │         SYS NORM(4)          │      Rés
   1 │ 01-15      │ ❌      14€ →       86€ │ ❌       7€ →       93€ │ ❌       7€ →       93€ │ ❌       7€ →       93€ │     200€
   2 │ 01-16      │ ✅      29€ →      127€ │ ✅      13€ →      113€ │ ❌      13€ →       80€ │ ❌      13€ →       80€ │     200€
   3 │ 01-20      │ ✅      18€ →      153€ │ ✅       8€ →      123€ │ ❌      27€ →       53€ │ ❌      27€ →       53€ │     200€
   4 │ 01-21      │ ✅      22€ →      185€ │ ✅       8€ →      135€ │ ✅      53€ →      169€ │ ✅      53€ →      169€ │     200€
   5 │ 01-22      │ ✅      26€ →      166€ 💰 │ ✅       9€ →      152€ │ ✅      11€ →      186€ │ ✅      11€ →      186€ │     332€
   6 │ 01-23      │ ✅      24€ →      200€ │ ✅      10€ →      166€ │ ✅      12€ →      187€ 💰 │ ✅      12€ →      203€ │     435€
   7 │ 01-24      │ ✅      29€ →      243€ │ ✅      11€ →      183€ │ ❌      12€ →      175€ │ ❌      14€ →      190€ │     435€
   8 │ 01-24      │ ✅      35€ →      295€ │ ✅      12€ →      201€ │ ✅      25€ →      218€ │ ✅      27€ →      237€ │     435€
   9 │ 01-24      │ ✅      42€ →      226€ 💰 │ ✅      13€ →      222€ │ ✅      15€ →      239€ │ ✅      16€ →      259€ │     630€
  10 │ 01-25      │ ✅      32€ →      280€ │ ✅      15€ →      246€ │ ✅      16€ →      267€ │ ✅      17€ →      290€ │     630€
  11 │ 01-25      │ ❌      40€ →      240€ │ ❌      16€ →      230€ │ ❌      18€ →      250€ │ ❌      19€ →      271€ │     630€
  12 │ 01-25      │ ✅      80€ →      363€ │ ✅      33€ →      281€ │ ✅      36€ →      307€ │ ✅      39€ →      333€ │     630€
  13 │ 01-26      │ ✅      52€ →      444€ │ ✅      19€ →      310€ │ ❌      20€ →      287€ │ ❌      22€ →      311€ │     630€
  14 │ 01-28      │ ✅      63€ →      290€ 💰 │ ✅      21€ →      344€ │ ✅      41€ →      345€ │ ✅      44€ →      375€ │     952€
  15 │ 01-29      │ ✅      41€ →      364€ │ ✅      23€ →      384€ │ ✅      23€ →      329€ 💰 │ ✅      25€ →      411€ │    1144€
  16 │ 01-30      │ ✅      52€ →      446€ │ ✅      26€ →      425€ │ ✅      22€ →      377€ │ ✅      27€ →      472€ │    1144€
