   # │ Jour       │         RAND SAFE(3)         │         RAND NORM(4)         │         SYS SAFE(4)          │         SYS NORM(4)          │      Rés
  42 │ 02-15      │ ✅    1566€ →    13225€ │ ✅     167€ →     2748€ │ ✅    1414€ →    12033€ │ ✅     400€ →     3401€ │   44819€
  43 │ 02-15      │ ❌    1889€ →    11336€ │ ❌     183€ →     2565€ │ ✅     802€ →    13165€ │ ✅     227€ →     3721€ │   44819€
  44 │ 02-16      │ ✅    3779€ →    10946€ 💰 │ ✅     366€ →     3257€ │ ✅     878€ →    14623€ │ ✅     248€ →     4133€ │   54231€
  45 │ 02-17      │ ✅    1564€ →    13194€ │ ✅     217€ →     3569€ │ ❌     975€ →    13648€ │ ❌     276€ →     3858€ │   54231€
  46 │ 02-18      │ ✅    1885€ →    15878€ │ ✅     238€ →     3908€ │ ✅    1950€ →    12761€ 💰 │ ✅     551€ →     4636€ │   63305€
  47 │ 02-19      │ ✅    2268€ →    19100€ │ ✅     261€ →     4278€ │ ✅     851€ →    13988€ │ ✅     309€ →     5081€ │   63305€
  48 │ 02-20      │ ✅    2729€ →    15177€ 💰 │ ✅     285€ →     4689€ │ ✅     933€ →    15360€ │ ✅     339€ →     5580€ │   75387€
  49 │ 02-21      │ ✅    2168€ →    18226€ │ ✅     313€ →     5128€ │ ✅    1024€ →    17169€ │ ✅     372€ →     6237€ │   75387€
  50 │ 02-21      │ ✅    2604€ →    21999€ │ ✅     342€ →     5624€ │ ❌    1145€ →    16025€ │ ❌     416€ →     5821€ │   75387€
  51 │ 02-21      │ ✅    3143€ →    26573€ │ ✅     375€ →     6169€ │ ❌    2289€ →    13735€ │ ❌     832€ →     4989€ │   75387€
  52 │ 02-22      │ ✅    3796€ →    18565€ 💰 │ ✅     411€ →     6770€ │ ✅    4578€ →    20171€ │ ✅    1663€ →     7327€ │   92325€
  53 │ 02-22      │ ✅    2652€ →    22626€ │ ✅     451€ →     7461€ │ ✅    1345€ →    22219€ │ ✅     488€ →     8071€ │   92325€
  54 │ 02-22      │ ❌    3232€ →    19394€ │ ❌     497€ →     6963€ │ ❌    1481€ →    20738€ │ ❌     538€ →     7533€ │   92325€
  55 │ 02-23      │ ✅    6465€ →    29099€ │ ✅     995€ →     8457€ │ ❌    2963€ →    17775€ │ ❌    1076€ →     6457€ │   92325€
  56 │ 02-24      │ ✅    4157€ →    35318€ │ ✅     564€ →     9300€ │ ✅    5925€ →    21251€ 💰 │ ✅    2152€ →     9515€ │  105756€
  57 │ 02-25      │ ✅    5045€ →    26104€ 💰 │ ✅     620€ →    10223€ │ ✅    1417€ →    23686€ │ ✅     634€ →    10605€ │  130021€
  58 │ 02-26      │ ✅    3729€ →    31719€ │ ✅     682€ →    11249€ │ ✅    1579€ →    26230€ │ ✅     707€ →    11744€ │  130021€
  59 │ 02-27      │ ✅    4531€ →    38113€ │ ✅     750€ →    12308€ │ ✅    1749€ →    28812€ │ ✅     783€ →    12900€ │  130021€
  60 │ 03-01      │ ❌    5445€ →    32669€ │ ❌     821€ →    11487€ │ ✅    1921€ →    31522€ │ ✅     860€ →    14113€ │  130021€
  61 │ 03-01      │ ❌   10890€ →    21779€ │ ❌    1641€ →     9846€ │ ✅    2101€ →    34471€ │ ✅     941€ →    15433€ │  130021€
  62 │ 03-01      │ ✅   21779€ →    31708€ 💰 │ ✅    3282€ →    14720€ │ ❌    2298€ →    32173€ │ ❌    1029€ →    14405€ │  158038€
  63 │ 03-08      │ ✅    4530€ →    38268€ │ ✅     981€ →    16141€ │ ✅    4596€ →    40006€ │ ✅    2058€ →    17911€ │  158038€
  64 │ 03-08      │ ✅    5467€ →    46577€ │ ✅    1076€ →    17777€ │ ✅    2667€ →    36287€ 💰 │ ✅    1194€ →    19767€ │  180936€
  65 │ 03-08      │ ❌    6654€ →    39923€ │ ❌    1185€ →    16592€ │ ✅    2419€ →    40011€ │ ✅    1318€ →    21795€ │  180936€
  66 │ 03-09      │ ✅   13308€ →    62581€ │ ✅    2370€ →    20627€ │ ✅    2667€ →    43946€ │ ✅    1453€ →    23938€ │  180936€
  67 │ 03-10      │ ❌    8940€ →    53641€ │ ❌    1375€ →    19252€ │ ❌    2930€ →    41016€ │ ❌    1596€ →    22342€ │  180936€
  68 │ 03-12      │ ✅   17880€ →    45718€ 💰 │ ✅    2750€ →    23132€ │ ✅    5859€ →    50250€ │ ✅    3192€ →    27372€ │  228092€
  69 │ 02-22      │                   —                    │                   —                    │ ✅    3350€ →    55588€ │ ✅    1825€ →    30280€ │  228092€
  70 │ 02-24      │                   —                    │                   —                    │ ❌    3706€ →    51882€ │ ❌    2019€ →    28262€ │  228092€
  71 │ 02-26      │                   —                    │                   —                    │ ❌    7412€ →    44470€ │ ❌    4037€ →    24224€ │  228092€
  72 │ 02-27      │                   —                    │                   —                    │ ❌   14823€ →    29647€ │ ❌    8075€ →    16149€ │  228092€
  73 │ 03-01      │                   —                    │                   —                    │ ✅   29647€ →    53266€ 💰 │ ✅   16149€ →    40325€ │  265832€
  74 │ 03-01      │                   —                    │                   —                    │ ❌    3551€ →    49715€ │ ❌    2688€ →    37636€ │  265832€
  75 │ 03-01      │                   —                    │                   —                    │ ❌    7102€ →    42613€ │ ❌    5377€ →    32260€ │  265832€
  76 │ 03-01      │                   —                    │                   —                    │ ✅   14204€ →    62698€ │ ✅   10753€ →    47465€ │  265832€
  77 │ 03-08      │                   —                    │                   —                    │ ✅    4180€ →    68733€ │ ✅    3164€ →    52033€ │  265832€
  78 │ 03-08      │                   —                    │                   —                    │ ✅    4582€ →    75559€ │ ✅    3469€ →    57201€ │  265832€
  79 │ 03-08      │                   —                    │                   —                    │ ❌    5037€ →    70522€ │ ❌    3813€ →    53388€ │  265832€
  80 │ 03-08      │                   —                    │                   —                    │ ✅   10075€ →    87689€ │ ✅    7627€ →    66384€ │  265832€
  81 │ 03-09      │                   —                    │                   —                    │ ❌    5846€ →    81843€ │ ❌    4426€ →    61958€ │  265832€
  82 │ 03-10      │                   —                    │                   —                    │ ✅   11692€ →   100961€ │ ✅    8851€ →    76431€ │  265832€
  83 │ 03-12      │                   —                    │                   —                    │ ✅    6731€ →    64796€ 💰 │ ✅    5095€ →    83966€ │  323479€
  84 │ 03-26      │                   —                    │                   —                    │ ✅    4320€ →    71737€ │ ✅    5598€ →    92960€ │  323479€
