[optimizer] datasets retenus: 60
[optimizer] période: 2026-01-02 -> 2026-03-26
[optimizer] split chrono: train=48 jours | valid=12 jours
[optimizer] trials demandés: 5000
[optimizer] Recherche focalisée : 2499 essais autour de 10 top profils + 2500 aléatoires
[optimizer] jobs parallèles: 6
/usr/local/Cellar/python@3.11/3.11.14_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 5 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
ne) | best=132.9243 | 1.4min écoulées | ETA ~23.3h
[optimizer] 76/5000 | best=148.1133 | 16.2min écoulées | ETA ~17.5h
[optimizer] 77/5000 | best=148.1133 | 16.2min écoulées | ETA ~17.3h
[optimizer] 78/5000 | best=148.1133 | 16.3min écoulées | ETA ~17.2h
[optimizer] 79/5000 | best=148.1133 | 16.3min écoulées | ETA ~17.0h
[optimizer] 80/5000 | best=148.1133 | 17.0min écoulées | ETA ~17.4h
[optimizer] 81/5000 | best=148.1133 | 17.1min écoulées | ETA ~17.3h
[optimizer] 82/5000 | best=148.1133 | 17.4min écoulées | ETA ~17.4h
[optimizer] 83/5000 | best=148.1133 | 17.4min écoulées | ETA ~17.2h
[optimizer] 84/5000 | best=148.1133 | 17.7min écoulées | ETA ~17.3h
[optimizer] 85/5000 | best=148.1133 | 17.8min écoulées | ETA ~17.2h
[optimizer] 86/5000 | best=148.1133 | 18.0min écoulées | ETA ~17.2h
[optimizer] 87/5000 | best=148.1133 | 18.4min écoulées | ETA ~17.4h
[optimizer] 88/5000 | best=148.1133 | 18.6min écoulées | ETA ~17.3h
[optimizer] 89/5000 | best=148.1133 | 18.7min écoulées | ETA ~17.2h
[optimizer] 90/5000 | best=148.1133 | 19.0min écoulées | ETA ~17.3h
[optimizer] 91/5000 | best=148.1133 | 19.1min écoulées | ETA ~17.2h
[optimizer] 92/5000 | best=148.1133 | 19.4min écoulées | ETA ~17.3h
[optimizer] 93/5000 | best=148.1133 | 19.5min écoulées | ETA ~17.1h
[optimizer] 94/5000 | best=148.1133 | 20.0min écoulées | ETA ~17.4h
[optimizer] 95/5000 | best=148.1133 | 20.1min écoulées | ETA ~17.3h
[optimizer] 96/5000 | best=148.1133 | 20.8min écoulées | ETA ~17.7h
[optimizer] 97/5000 | best=148.1133 | 20.8min écoulées | ETA ~17.6h
[optimizer] 98/5000 | best=148.1133 | 21.1min écoulées | ETA ~17.6h
[optimizer] 99/5000 | best=148.1133 | 21.2min écoulées | ETA ~17.5h
[optimizer] 100/5000 | best=154.3451 | 21.4min écoulées | ETA ~17.4h
[optimizer] checkpoint sauvegardé (100 trials)
[optimizer] 101/5000 | best=154.3451 | 21.5min écoulées | ETA ~17.4h
[optimizer] 102/5000 | best=154.3451 | 21.6min écoulées | ETA ~17.3h
[optimizer] 103/5000 | best=154.3451 | 22.1min écoulées | ETA ~17.5h
[optimizer] 104/5000 | best=154.3451 | 22.3min écoulées | ETA ~17.5h
[optimizer] 105/5000 | best=154.3451 | 22.3min écoulées | ETA ~17.3h
[optimizer] 106/5000 | best=154.3451 | 22.4min écoulées | ETA ~17.2h
[optimizer] 107/5000 | best=154.3451 | 22.9min écoulées | ETA ~17.4h
[optimizer] 108/5000 | best=154.3451 | 23.1min écoulées | ETA ~17.4h
[optimizer] 109/5000 | best=154.3451 | 23.3min écoulées | ETA ~17.5h
[optimizer] 110/5000 | best=154.3451 | 23.4min écoulées | ETA ~17.4h
[optimizer] 111/5000 | best=154.3451 | 23.8min écoulées | ETA ~17.5h
[optimizer] 112/5000 | best=154.3451 | 23.8min écoulées | ETA ~17.3h
[optimizer] 113/5000 | best=154.3451 | 24.0min écoulées | ETA ~17.3h
[optimizer] 114/5000 | best=154.3451 | 24.3min écoulées | ETA ~17.3h
[optimizer] 115/5000 | best=154.3451 | 24.4min écoulées | ETA ~17.3h
[optimizer] 116/5000 | best=154.3451 | 24.5min écoulées | ETA ~17.2h
[optimizer] 117/5000 | best=154.3451 | 25.3min écoulées | ETA ~17.6h
[optimizer] 118/5000 | best=154.3451 | 25.4min écoulées | ETA ~17.5h
[optimizer] 119/5000 | best=154.3451 | 25.4min écoulées | ETA ~17.3h
[optimizer] 120/5000 | best=154.3451 | 25.5min écoulées | ETA ~17.3h
[optimizer] 121/5000 | best=154.3451 | 25.9min écoulées | ETA ~17.4h
[optimizer] 122/5000 | best=154.3451 | 26.1min écoulées | ETA ~17.4h
[optimizer] 123/5000 | best=154.3451 | 26.4min écoulées | ETA ~17.4h
[optimizer] 124/5000 | best=154.3451 | 26.6min écoulées | ETA ~17.4h
[optimizer] 125/5000 | best=154.3451 | 27.0min écoulées | ETA ~17.5h
[optimizer] 126/5000 | best=154.3451 | 27.0min écoulées | ETA ~17.4h
[optimizer] 127/5000 | best=154.3451 | 27.1min écoulées | ETA ~17.4h
[optimizer] 128/5000 | best=154.3451 | 27.5min écoulées | ETA ~17.4h
[optimizer] 129/5000 | best=154.3451 | 27.7min écoulées | ETA ~17.4h
[optimizer] 130/5000 | best=154.3451 | 27.8min écoulées | ETA ~17.3h
[optimizer] 131/5000 | best=154.3451 | 28.3min écoulées | ETA ~17.5h
[optimizer] 132/5000 | best=154.3451 | 28.3min écoulées | ETA ~17.4h
[optimizer] 133/5000 | best=154.3451 | 28.5min écoulées | ETA ~17.4h
[optimizer] 134/5000 | best=154.3451 | 28.5min écoulées | ETA ~17.2h
[optimizer] 135/5000 | best=154.3451 | 28.7min écoulées | ETA ~17.2h
[optimizer] 136/5000 | best=154.3451 | 29.7min écoulées | ETA ~17.7h
[optimizer] 137/5000 | best=154.3451 | 29.7min écoulées | ETA ~17.6h
[optimizer] 138/5000 | best=154.3451 | 29.8min écoulées | ETA ~17.5h
[optimizer] 139/5000 | best=154.3451 | 29.8min écoulées | ETA ~17.4h
[optimizer] 140/5000 | best=154.3451 | 30.1min écoulées | ETA ~17.4h
[optimizer] 141/5000 | best=154.3451 | 30.4min écoulées | ETA ~17.4h
[optimizer] 142/5000 | best=154.3451 | 30.4min écoulées | ETA ~17.3h
[optimizer] 143/5000 | best=154.3451 | 30.6min écoulées | ETA ~17.3h
[optimizer] 144/5000 | best=154.3451 | 31.1min écoulées | ETA ~17.5h
[optimizer] 145/5000 | best=154.3451 | 31.2min écoulées | ETA ~17.4h
[optimizer] 146/5000 | best=154.3451 | 31.2min écoulées | ETA ~17.3h
[optimizer] 147/5000 | best=154.3451 | 31.5min écoulées | ETA ~17.4h
[optimizer] 148/5000 | best=154.3451 | 31.6min écoulées | ETA ~17.2h
[optimizer] 149/5000 | best=154.3451 | 31.9min écoulées | ETA ~17.3h
[optimizer] 150/5000 | best=154.3451 | 32.0min écoulées | ETA ~17.2h
[optimizer] 151/5000 | best=154.3451 | 32.5min écoulées | ETA ~17.4h
[optimizer] 152/5000 | best=177.2074 | 32.6min écoulées | ETA ~17.3h
[optimizer] 153/5000 | best=177.2074 | 32.7min écoulées | ETA ~17.3h
[optimizer] 154/5000 | best=177.2074 | 33.1min écoulées | ETA ~17.4h
[optimizer] 155/5000 | best=177.2074 | 33.1min écoulées | ETA ~17.2h
[optimizer] 156/5000 | best=177.2074 | 33.1min écoulées | ETA ~17.1h
[optimizer] 157/5000 | best=177.2074 | 33.3min écoulées | ETA ~17.1h
[optimizer] 158/5000 | best=177.2074 | 33.7min écoulées | ETA ~17.2h
[optimizer] 159/5000 | best=177.2074 | 34.3min écoulées | ETA ~17.4h
[optimizer] 160/5000 | best=177.2074 | 34.4min écoulées | ETA ~17.3h
[optimizer] 161/5000 | best=177.2074 | 34.6min écoulées | ETA ~17.4h
[optimizer] 162/5000 | best=177.2074 | 34.8min écoulées | ETA ~17.3h
[optimizer] 163/5000 | best=177.2074 | 34.8min écoulées | ETA ~17.2h
[optimizer] 164/5000 | best=177.2074 | 35.2min écoulées | ETA ~17.3h
[optimizer] 165/5000 | best=177.2074 | 35.3min écoulées | ETA ~17.3h
[optimizer] 166/5000 | best=177.2074 | 35.8min écoulées | ETA ~17.4h
[optimizer] 167/5000 | best=177.2074 | 35.9min écoulées | ETA ~17.3h
[optimizer] 168/5000 | best=177.2074 | 36.0min écoulées | ETA ~17.3h
[optimizer] 169/5000 | best=177.2074 | 36.2min écoulées | ETA ~17.2h
[optimizer] 170/5000 | best=177.2074 | 36.6min écoulées | ETA ~17.3h
[optimizer] 171/5000 | best=177.2074 | 36.7min écoulées | ETA ~17.3h
[optimizer] 172/5000 | best=177.2074 | 36.9min écoulées | ETA ~17.3h
[optimizer] 173/5000 | best=177.2074 | 37.0min écoulées | ETA ~17.2h
[optimizer] 174/5000 | best=177.2074 | 37.2min écoulées | ETA ~17.2h
[optimizer] 175/5000 | best=177.2074 | 37.4min écoulées | ETA ~17.2h
[optimizer] 176/5000 | best=177.2074 | 38.2min écoulées | ETA ~17.5h
[optimizer] 177/5000 | best=177.2074 | 38.2min écoulées | ETA ~17.4h
[optimizer] 178/5000 | best=177.2074 | 38.2min écoulées | ETA ~17.3h
[optimizer] 179/5000 | best=177.2074 | 38.4min écoulées | ETA ~17.2h
[optimizer] 180/5000 | best=177.2074 | 38.7min écoulées | ETA ~17.3h
[optimizer] 181/5000 | best=177.2074 | 39.0min écoulées | ETA ~17.3h
[optimizer] 182/5000 | best=177.2074 | 39.2min écoulées | ETA ~17.3h
[optimizer] 183/5000 | best=177.2074 | 39.4min écoulées | ETA ~17.3h
[optimizer] 184/5000 | best=177.2074 | 39.7min écoulées | ETA ~17.3h
[optimizer] 185/5000 | best=177.2074 | 39.8min écoulées | ETA ~17.3h
[optimizer] 186/5000 | best=177.2074 | 39.9min écoulées | ETA ~17.2h
[optimizer] 187/5000 | best=177.2074 | 40.4min écoulées | ETA ~17.3h
[optimizer] 188/5000 | best=177.2074 | 40.5min écoulées | ETA ~17.3h
[optimizer] 189/5000 | best=177.2074 | 40.7min écoulées | ETA ~17.3h
[optimizer] 190/5000 | best=177.2074 | 40.8min écoulées | ETA ~17.2h
[optimizer] 191/5000 | best=177.2074 | 41.1min écoulées | ETA ~17.2h
[optimizer] 192/5000 | best=177.2074 | 41.2min écoulées | ETA ~17.2h
[optimizer] 193/5000 | best=177.2074 | 41.6min écoulées | ETA ~17.3h
[optimizer] 194/5000 | best=177.2074 | 41.8min écoulées | ETA ~17.2h
[optimizer] 195/5000 | best=177.2074 | 41.8min écoulées | ETA ~17.2h
[optimizer] 196/5000 | best=177.2074 | 42.6min écoulées | ETA ~17.4h
[optimizer] 197/5000 | best=177.2074 | 42.6min écoulées | ETA ~17.3h
[optimizer] 198/5000 | best=177.2074 | 42.7min écoulées | ETA ~17.3h
