# date	league	home	away	league_id	home_id	away_id	fixture_id
2026-01-28	liga profesional argentina	Gimnasia M.	San Lorenzo	128	1066	460	1491839
2026-01-28	liga profesional argentina	Huracan	Independ. Rivadavia	128	445	473	1491840
2026-01-28	liga profesional argentina	Atletico Tucuman	Central Cordoba de Santiago	128	455	1065	1491834
2026-01-28	liga profesional argentina	Newells Old Boys	Independiente	128	457	453	1491842
2026-01-28	liga profesional argentina	Aldosivi	Barracas Central	128	463	2432	1491833
2026-01-28	liga profesional argentina	Racing Club	Rosario Central	128	436	437	1491844
2026-01-28	primera a colombia	Fortaleza FC	Llaneros	239	1147	1464	1505948
2026-01-28	primera a colombia	Independiente Medellin	Deportes Tolima	239	1128	1142	1505949
2026-01-28	primera a colombia	Alianza Valledupar	Chico	239	1141	1132	1505950
2026-01-28	primera división paraguay	Club Sp. San Lorenzo	Cerro Porteno	250	2125	1176	1504968
2026-01-28	primera división paraguay	Libertad Asuncion	Sportivo Ameliano	250	1179	10487	1504966
2026-01-28	saudi arabia	Al Najma	Al Riyadh	307	2992	10511	1436079
2026-01-28	saudi arabia	Al-Ahli Jeddah	Al-Ettifaq	307	2929	2934	1436076
2026-01-28	saudi arabia	Al-Fayha	Al Khaleej Saihat	307	2944	2928	1436078
2026-01-28	serie a brazil	Atletico-MG	Palmeiras	71	1062	121	1492110
2026-01-28	serie a brazil	Coritiba	RB Bragantino	71	147	794	1492114
2026-01-28	serie a brazil	Internacional	Atletico Paranaense	71	119	134	1492116
2026-01-28	serie a brazil	Vitoria	remo	71	136	1198	1492119
2026-01-28	serie a brazil	Fluminense	Gremio	71	124	130	1492115
2026-01-28	uefa champions league	Ajax	Olympiakos Piraeus	2	194	553	1451157
2026-01-28	uefa champions league	Arsenal	Kairat Almaty	2	42	664	1451159
2026-01-28	uefa champions league	Athletic Club	Sporting CP	2	531	228	1451156
2026-01-28	uefa champions league	Atletico Madrid	Bodo/Glimt	2	530	327	1451152
2026-01-28	uefa champions league	Barcelona	FC Copenhagen	2	529	400	1451161
2026-01-28	uefa champions league	Bayer Leverkusen	Villarreal	2	168	533	1451155
2026-01-28	uefa champions league	Benfica	Real Madrid	2	211	541	1451162
2026-01-28	uefa champions league	Borussia Dortmund	Inter	2	165	505	1451147
2026-01-28	uefa champions league	Club Brugge KV	Marseille	2	569	81	1451163
2026-01-28	uefa champions league	Eintracht Frankfurt	Tottenham	2	169	47	1451150
2026-01-28	uefa champions league	Liverpool	Qarabag	2	40	556	1451160
2026-01-28	uefa champions league	Manchester City	Galatasaray	2	50	645	1451153
2026-01-28	uefa champions league	Monaco	Juventus	2	91	496	1451148
2026-01-28	uefa champions league	Napoli	Chelsea	2	492	49	1451146
2026-01-28	uefa champions league	Pafos	Slavia Praha	2	3403	560	1451151
2026-01-28	uefa champions league	Paris Saint Germain	Newcastle	2	85	34	1451149
2026-01-28	uefa champions league	PSV Eindhoven	Bayern München	2	197	157	1451154
2026-01-28	uefa champions league	Union St. Gilloise	Atalanta	2	1393	499	1451158
