variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,worst_streak,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_streak,safe_dbl,score
67,2.8,2.0,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4999,0.0544,22.02,3,6.8696,0.0,3.0,3,4.7149,0.0,7.776,1.9561,3.0,3,1.88,2.4774
112,2.8,2.2,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4526,0.0545,21.09,2.96,6.1474,0.0,12.0,2.96,4.703,0.0,6.835,1.4625,1.0,2.96,1.91,2.4773
327,3.2,1.8,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4897,0.0558,20.95,3.05,6.4435,0.0,11.0,3.05,4.6982,0.0,8.135,1.8718,0.0,3.05,1.84,2.496
411,3.2,2.0,0.65,12,4,2,4,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4589,0.0596,20.23,2.95,6.4748,0.0,9.0,2.95,4.6959,0.0,9.091,1.8252,2.0,2.95,1.88,2.4656
401,3.2,2.0,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4425,0.0598,21.26,3.08,6.4412,0.0,11.0,3.08,4.6902,0.0,7.565,1.791,2.0,3.08,1.81,2.4579
429,3.2,2.0,0.65,15,4,2,4,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4575,0.0604,20.43,3,6.7592,0.0,6.0,3,4.6738,0.0,8.932,2.0695,2.0,3,1.77,2.4541
376,3.2,1.8,0.65,15,4,2,4,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4339,0.0578,20.75,3.05,6.6691,0.0,6.0,3.05,4.6564,0.0,8.234,2.0919,1.0,3.05,1.81,2.4484
265,3.0,2.0,0.65,15,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4879,0.0549,21.49,2.94,6.7205,0.0,5.0,2.94,4.655,0.0,8.274,1.9908,2.0,2.94,1.82,2.4539
446,3.2,2.2,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4449,0.059,20.66,3.02,6.5751,0.0,1.0,3.02,4.6436,0.0,7.203,1.9737,0.0,3.02,1.81,2.4553
5,2.8,1.8,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4857,0.0567,21.68,2.93,6.3085,0.0,5.0,2.93,4.643,0.0,7.415,1.7346,0.0,2.93,1.86,2.4672
