variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,U35R_wr_mean,U35R_wr_std,U35R_n_mean,U35R_worst_streak,U35R_best_streak,U35R_nm_mult_mean,U35R_nm_mult_min,U35R_nm_ruin,U35R_nm_streak,U35R_safe_mult_mean,U35R_safe_mult_min,U35R_safe_ruin,U35R_safe_streak,U35R_safe_dbl,U35R_score,O25R_wr_mean,O25R_wr_std,O25R_n_mean,O25R_worst_streak,O25R_best_streak,O25R_nm_mult_mean,O25R_nm_mult_min,O25R_nm_ruin,O25R_nm_streak,O25R_safe_mult_mean,O25R_safe_mult_min,O25R_safe_ruin,O25R_safe_streak,O25R_safe_dbl,O25R_score,O15SR_wr_mean,O15SR_wr_std,O15SR_n_mean,O15SR_worst_streak,O15SR_best_streak,O15SR_nm_mult_mean,O15SR_nm_mult_min,O15SR_nm_ruin,O15SR_nm_streak,O15SR_safe_mult_mean,O15SR_safe_mult_min,O15SR_safe_ruin,O15SR_safe_streak,O15SR_safe_dbl,O15SR_score,U35SR_wr_mean,U35SR_wr_std,U35SR_n_mean,U35SR_worst_streak,U35SR_best_streak,U35SR_nm_mult_mean,U35SR_nm_mult_min,U35SR_nm_ruin,U35SR_nm_streak,U35SR_safe_mult_mean,U35SR_safe_mult_min,U35SR_safe_ruin,U35SR_safe_streak,U35SR_safe_dbl,U35SR_score,O25SR_wr_mean,O25SR_wr_std,O25SR_n_mean,O25SR_worst_streak,O25SR_best_streak,O25SR_nm_mult_mean,O25SR_nm_mult_min,O25SR_nm_ruin,O25SR_nm_streak,O25SR_safe_mult_mean,O25SR_safe_mult_min,O25SR_safe_ruin,O25SR_safe_streak,O25SR_safe_dbl,O25SR_score,total_safe_mult,total_n
18299,2.6,1.8,0.65,18,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5789,0.0987,14.54,2.38,3.44,1.9193,0.0,6.0,2.34,1.9953,0.0,6.0,2.34,0.56,1.1113,0.9383,0.1291,3.18,0.22,2.92,1.4272,1.108,0.0,0.22,1.4272,1.108,0.0,0.22,0,0.9951,0.26,0.4431,0.26,0,0.26,1.033,1.0,0.0,0,1.033,1.0,0.0,0,0,0.5945,0.5115,0.0527,26.6,3.64,4.02,3.4898,0.0,32.0,3.54,3.1681,0.0,14.0,3.56,1.4,1.5975,0.2047,0.2403,2.62,1.84,0.5,0.9075,0.0,6.0,1.84,0.9075,0.0,6.0,1.84,0,0.4552,0.0233,0.0953,1.7,1.64,0.06,0.8604,0.533,0.0,1.64,0.8604,0.533,0.0,1.64,0,0.4372,9.3915,46
16247,2.6,1.4,0.65,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5927,0.0642,17.66,2.02,3.52,1.6759,0.922,0.0,2.02,1.7294,0.922,0.0,2.02,0.3,1.0425,0.9727,0.0845,2.98,0.1,2.86,1.4107,1.113,0.0,0.1,1.4107,1.113,0.0,0.1,0,0.9972,1.0,0.0,2.34,0,2.34,1.1223,1.073,0.0,0,1.1223,1.073,0.0,0,0,0.8612,0.5206,0.0619,26.44,3.48,4.16,3.9907,0.0,36.0,3.36,3.1664,0.0,24.0,3.4,1.42,1.4994,0.1727,0.2109,2.64,1.94,0.48,0.9272,0.0,4.0,1.92,0.9315,0.0,4.0,1.92,0.02,0.4776,0.0,0.0,2.26,2.26,0,0.7306,0.533,0.0,2.26,0.7306,0.533,0.0,2.26,0,0.3653,9.0909,51
16344,2.6,1.4,0.65,18,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5599,0.0652,17.26,2.58,3.96,1.8256,0.0,4.0,2.58,1.8812,0.0,4.0,2.58,0.5,1.0686,0.8533,0.2293,2.26,0.36,1.9,1.2846,0.933,0.0,0.36,1.2846,0.933,0.0,0.36,0,0.8983,1.0,0.0,2.32,0,2.32,1.1182,1.073,0.0,0,1.1182,1.073,0.0,0,0,0.8591,0.4227,0.0715,23.76,4.52,2.42,3.3642,0.0,54.0,3.74,3.1629,0.0,26.0,3.72,1.26,1.4483,0.1727,0.2252,2.82,2.3,0.48,0.7419,0.0,20.0,2.26,0.7419,0.0,20.0,2.26,0,0.2228,0.0,0.0,1.34,1.34,0,0.8771,0.0,2.0,1.34,0.8771,0.0,2.0,1.34,0,0.4185,9.0659,47
17435,2.6,1.6,0.7,15,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.646,0.0781,11.24,1.5,3,1.7986,1.283,0.0,1.5,1.8364,1.283,0.0,1.5,0.22,1.112,0.5467,0.0877,2.34,1.02,1.32,1.1952,1.15,0.0,1.02,1.1952,1.15,0.0,1.02,0,0.7616,0.06,0.2399,0.06,0,0.06,1.0122,1.0,0.0,0,1.0122,1.0,0.0,0,0,0.5241,0.5401,0.0623,27.14,3.66,4.44,4.115,0.0,38.0,3.54,3.1611,0.0,30.0,3.54,1.46,1.4426,0.2927,0.2416,3.04,1.98,0.76,0.9861,0.0,8.0,1.98,0.9861,0.0,8.0,1.98,0,0.5009,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.191,43
10577,2.2,1.8,0.7,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6361,0.0736,13.52,1.64,2.68,2.2656,0.0,0.0,1.64,2.3402,0.0,0.0,1.64,0.88,1.3609,0.8053,0.1472,4.02,0.76,2.58,1.3698,1.214,0.0,0.76,1.3698,1.214,0.0,0.76,0,0.9265,0.34,0.4785,0.34,0,0.34,1.0402,1.0,0.0,0,1.0402,1.0,0.0,0,0,0.6221,0.5388,0.0651,27.96,3.6,4.58,3.432,0.0,30.0,3.48,3.1559,0.0,18.0,3.52,1.36,1.5596,0.3463,0.2387,3.44,1.98,0.92,0.9413,0.0,4.0,1.98,0.9413,0.0,4.0,1.98,0,0.5345,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.8474,47
19263,2.6,2.0,0.65,18,4,1,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.464,0.0746,14.28,2.88,2.38,2.3382,0.0,22.0,2.82,2.2373,0.0,22.0,2.82,0.76,1.0378,0.8453,0.228,2.54,0.42,2.06,1.3196,1.0,0.0,0.42,1.3196,1.0,0.0,0.42,0,0.9134,0.36,0.4849,0.36,0,0.36,1.0484,1.0,0.0,0,1.0484,1.0,0.0,0,0,0.6322,0.3986,0.0797,22.02,4.16,2.46,3.1153,0.0,54.0,3.66,3.1559,0.0,24.0,3.64,1.28,1.4575,0.1067,0.1829,2.3,1.88,0.3,0.8403,0.0,6.0,1.86,0.8403,0.0,6.0,1.86,0,0.3922,0.05,0.1515,1.4,1.3,0.1,0.9076,0.0,2.0,1.3,0.9076,0.0,2.0,1.3,0,0.4488,9.5091,41
10459,2.2,1.8,0.65,15,4,1,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.5999,0.0765,15.78,2.64,3.64,1.8056,0.0,18.0,2.6,1.8619,0.0,18.0,2.6,0.74,0.9309,0.6877,0.2782,3.2,0.9,2.02,1.2616,0.8,0.0,0.9,1.2616,0.8,0.0,0.9,0,0.8371,0.62,0.4903,0.74,0,0.74,1.0857,1.0,0.0,0,1.0857,1.0,0.0,0,0,0.7288,0.5169,0.0747,24.86,3.22,3.54,3.5342,0.0,20.0,3.12,3.1502,0.0,16.0,3.12,1.38,1.5702,0.2327,0.2424,3.14,2.16,0.7,0.803,0.0,14.0,2.1,0.803,0.0,14.0,2.1,0,0.3313,0.08,0.1757,1.5,1.32,0.18,0.9449,0.533,0.0,1.32,0.9449,0.533,0.0,1.32,0,0.4965,9.1073,46
19154,2.6,2.0,0.65,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5244,0.0917,13.44,2.88,2.72,1.7184,0.0,18.0,2.76,1.7871,0.0,18.0,2.76,0.66,0.8709,0.965,0.0968,2.52,0.12,2.4,1.3327,1.109,0.0,0.12,1.3327,1.109,0.0,0.12,0,0.9558,0.34,0.4785,0.34,0,0.34,1.0466,1.0,0.0,0,1.0466,1.0,0.0,0,0,0.6253,0.48,0.0561,22.76,3.68,2.8,3.9077,0.0,40.0,3.36,3.1479,0.0,30.0,3.34,1.32,1.4179,0.2,0.2182,2.48,1.8,0.54,0.9412,0.533,0.0,1.8,0.9412,0.533,0.0,1.8,0,0.5306,0.0133,0.066,2.36,2.32,0.04,0.7302,0.0,4.0,2.32,0.7302,0.0,4.0,2.32,0,0.3291,8.9857,41
11763,2.4,1.4,None,15,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.576,0.0623,22.7,3,5.06,2.5781,0.0,16.0,2.82,2.4342,0.0,14.0,2.82,0.84,1.2499,0.6576,0.2898,3.52,1.04,2.1,1.2254,0.0,4.0,1.02,1.2254,0.0,4.0,1.02,0,0.77,1.0,0.0,3.1,0,3.1,1.2197,1.073,0.0,0,1.2197,1.073,0.0,0,0,0.9099,0.4888,0.0724,25.6,4.36,4.36,3.3757,0.0,48.0,3.62,3.1387,0.0,32.0,3.62,1.36,1.396,0.272,0.3397,2.2,1.46,0.56,0.9379,0.0,2.0,1.46,0.9379,0.0,2.0,1.46,0,0.5305,0.3569,0.171,4.4,2.42,1.2,1.0078,0.0,8.0,2.4,1.0152,0.0,8.0,2.4,0.02,0.5347,9.9711,59
19315,2.6,2.0,0.7,12,4,1,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.6693,0.09,10.52,1.54,4.2,2.2633,1.386,0.0,1.54,2.3736,1.386,0.0,1.54,0.8,1.3876,0.3367,0.2597,1.74,1,0.74,1.1061,0.933,0.0,1,1.1061,0.933,0.0,1,0,0.6541,0.08,0.274,0.08,0,0.08,1.0162,1.0,0.0,0,1.0162,1.0,0.0,0,0,0.5321,0.4589,0.0641,23.56,3.82,3.06,3.9795,0.0,42.0,3.4,3.1296,0.0,34.0,3.4,1.24,1.3625,0.2357,0.2471,2.66,1.84,0.6,0.9307,0.0,4.0,1.84,0.9307,0.0,4.0,1.84,0,0.4961,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.5562,36
