variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,n_min,n_max,loss_streak_mean,loss_streak_max,win_streak_mean,win_streak_max,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_loss_str_mean,safe_win_str_mean,safe_dbl,br_safe_mult,br_nm_mult,br_wr,br_n_tickets,br_win_streak,br_loss_streak,br_doublings,wr_safe_mult,wr_nm_mult,wr_wr,wr_n_tickets,wr_win_streak,wr_loss_streak,wr_doublings,wr_ruined,score
137,3.6,2.0,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4684,0.0538,20.82,19,25,2.95,5,3.21,6,8.5181,0.0,4.0,2.95,5.3478,0.0,9.632,2.0784,1.0,2.95,3.2,2.07,9.632,25.772,0.5833,24,5,3,4,0.0,0.0,0.4545,22,3,4,0,False,2.8044
100,3.4,2.2,0.65,12,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4373,0.056,20.22,17,23,2.91,4,2.29,4,7.6904,0.0,4.0,2.91,5.2599,0.0,7.865,1.6245,0.0,2.91,2.29,2.08,7.865,14.497,0.5217,23,3,3,3,0.0,0.0,0.3182,22,1,4,0,False,2.7611
142,3.6,2.0,0.65,15,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4756,0.0575,20.77,18,24,2.93,4,3.28,5,7.8899,0.0,7.0,2.93,5.1915,0.0,9.5,2.1112,0.0,2.93,3.28,1.96,9.5,20.181,0.5,24,4,3,3,0.0,0.0,0.45,20,4,4,0,False,2.7384
109,3.6,1.8,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.475,0.0492,20.81,18,24,2.92,4,3.25,6,7.9031,0.0,7.0,2.92,5.1325,0.0,8.527,2.0689,0.0,2.92,3.25,1.97,8.527,15.502,0.5455,22,5,3,3,0.0,0.0,0.381,21,2,4,0,False,2.7088
128,3.6,2.0,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4642,0.0487,20.92,18,25,3,4,3.09,5,7.9417,0.0,1.0,3,5.1261,0.0,9.631,2.2787,0.0,3,3.09,2.01,9.631,20.069,0.44,25,4,3,3,0.0,0.0,0.4091,22,4,4,0,False,2.7023
112,3.6,1.8,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.466,0.0492,21,18,24,3.04,4,3.03,6,7.9465,0.0,5.0,3.04,5.1259,0.0,8.523,2.2043,0.0,3.04,3.03,1.91,8.523,18.52,0.5,24,5,3,3,0.0,0.0,0.4348,23,2,4,0,False,2.7027
115,3.6,1.8,0.65,12,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4321,0.0516,20.88,17,25,2.99,4,2.52,6,7.2566,0.0,6.0,2.99,5.0675,0.0,9.373,1.7341,0.0,2.99,2.52,1.94,9.373,22.277,0.56,25,3,3,3,0.0,0.0,0.3913,23,3,4,0,False,2.6634
89,3.4,2.0,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4641,0.0496,21.13,18,26,3.06,4,3.29,6,7.5004,0.0,7.0,3.06,5.0588,0.0,8.502,1.9869,0.0,3.06,3.29,1.99,8.502,17.269,0.4615,26,3,3,3,0.0,0.0,0.4091,22,4,4,0,False,2.6686
161,3.6,2.2,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4417,0.0572,20.02,17,24,2.95,5,2.28,5,7.3709,0.0,3.0,2.95,5.0474,0.0,8.985,1.8634,1.0,2.95,2.28,1.88,8.985,17.444,0.4783,23,3,3,3,0.0,0.0,0.3182,22,1,4,0,False,2.6462
152,3.6,2.2,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4044,0.0558,20.17,17,24,3.34,5,2.06,5,6.2876,0.0,15.0,3.33,5.0045,0.0,9.626,2.2541,0.0,3.33,2.06,1.95,9.626,20.472,0.3913,23,3,3,3,0.0,0.0,0.381,21,2,4,0,False,2.6236
156,3.6,2.2,0.65,15,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4008,0.0573,20,16,23,3.26,5,2.11,4,6.7304,0.0,14.0,3.26,4.9802,0.0,9.549,2.2968,1.0,3.26,2.11,1.86,9.549,20.626,0.3913,23,2,3,3,0.0,0.0,0.3636,22,2,4,0,True,2.6003
111,3.6,1.8,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4737,0.0534,20.62,17,24,3.01,4,3.51,7,7.3856,0.0,10.0,3.01,4.9624,0.0,8.586,2.1947,0.0,3.01,3.51,1.9,8.586,15.367,0.5,22,5,3,3,0.0,0.0,0.4091,22,3,4,0,False,2.6233
130,3.6,2.0,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4594,0.0537,20.71,17,24,2.99,5,3.09,5,7.4065,0.0,10.0,2.99,4.9402,0.0,8.688,2.081,2.0,2.99,3.08,1.88,8.688,17.609,0.4783,23,5,3,3,0.0,0.0,0.4091,22,3,4,0,False,2.5879
81,3.4,2.0,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4806,0.0588,20.82,18,24,3.06,5,3.66,7,7.2299,0.0,12.0,3.06,4.9299,0.0,8.722,2.0715,1.0,3.06,3.64,1.94,8.722,17.335,0.5455,22,4,3,3,0.0,0.0,0.55,20,7,4,0,False,2.5991
105,3.4,2.2,0.65,15,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4509,0.0593,20.26,17,23,2.93,4,2.63,7,7.1464,0.0,8.0,2.93,4.8997,0.0,8.515,1.9946,0.0,2.93,2.63,1.9,8.515,16.728,0.5217,23,4,3,3,0.0,0.0,0.4762,21,3,4,0,False,2.5851
126,3.6,2.0,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4653,0.0553,20.62,18,24,3.12,4,3.4,7,7.0866,0.0,11.0,3.12,4.8957,0.0,9.581,2.2091,0.0,3.12,3.4,1.88,9.581,19.488,0.4783,23,4,3,3,0.0,0.0,0.4,20,2,4,0,False,2.5874
54,3.4,1.8,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4752,0.0512,21,18,24,3.12,4,3.61,8,7.1228,0.0,9.0,3.12,4.8941,0.0,7.7,2.1351,0.0,3.12,3.61,1.88,7.7,14.897,0.5,24,3,3,3,0.0,0.0,0.4,20,2,4,0,False,2.5896
107,3.4,2.2,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4401,0.056,20.09,17,24,2.97,4,2.25,5,6.8949,0.0,6.0,2.97,4.8797,0.0,8.5,1.8627,0.0,2.97,2.25,1.89,8.5,15.488,0.4545,22,2,3,3,0.0,0.0,0.4091,22,3,4,0,False,2.5719
114,3.6,1.8,0.65,12,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4417,0.0529,20.66,18,24,3.02,5,2.57,6,7.1358,0.0,9.0,3.02,4.8734,0.0,9.15,2.1216,1.0,3.02,2.57,1.84,9.15,17.267,0.5238,21,6,3,3,0.0,0.0,0.381,21,3,4,0,False,2.5592
90,3.4,2.2,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4596,0.0552,19.86,17,23,2.98,4,2.84,7,6.9806,0.0,4.0,2.98,4.869,0.0,7.949,1.8347,0.0,2.98,2.84,1.9,7.949,13.824,0.5,22,2,3,3,0.0,0.0,0.5,22,3,4,0,False,2.5724
136,3.6,2.0,0.65,12,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4603,0.0494,20.93,18,24,3.06,4,3.28,5,7.4894,0.0,5.0,3.06,4.8548,0.0,8.008,2.4154,1.0,3.06,3.25,1.87,8.008,16.658,0.5217,23,5,3,3,0.0,0.0,0.3913,23,2,4,0,False,2.5555
97,3.4,2.2,0.65,12,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.3991,0.0652,20.24,17,24,3.27,5,2.01,5,6.0208,0.0,24.0,3.27,4.8473,0.0,8.774,2.2459,3.0,3.27,1.99,1.88,8.774,17.968,0.3913,23,2,3,3,0.0,0.0,0.3636,22,1,4,0,False,2.5134
