variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,n_min,n_max,loss_streak_mean,loss_streak_max,win_streak_mean,win_streak_max,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_loss_str_mean,safe_win_str_mean,safe_dbl,br_safe_mult,br_nm_mult,br_wr,br_n_tickets,br_win_streak,br_loss_streak,br_doublings,wr_safe_mult,wr_nm_mult,wr_wr,wr_n_tickets,wr_win_streak,wr_loss_streak,wr_doublings,wr_ruined,score
63,3.8,1.8,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4767,0.052,20.47,17,24,3.09,5,3.63,7,7.807,0.0,4.0,3.09,5.1573,0.0,8.993,2.2839,1.0,3.09,3.59,1.92,8.993,18.669,0.4783,23,4,3,3,0.0,0.0,0.4,20,2,4,0,False,2.7117
127,4.0,2.0,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4638,0.0533,20.62,17,23,3.01,4,3.06,5,8.2453,0.0,4.0,3.01,5.1565,0.0,9.569,2.6734,0.0,3.01,3.06,1.84,9.569,13.33,0.5263,19,5,3,2,0.0,0.0,0.4091,22,2,4,0,False,2.7174
157,4.0,2.2,0.65,15,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.3811,0.0555,19.87,16,23,3.39,5,1.76,3,6.7972,0.0,21.0,3.37,5.1487,0.0,11.002,2.6965,5.0,3.36,1.75,1.88,11.002,25.221,0.4091,22,3,3,3,0.0,0.0,0.381,21,2,4,0,True,2.6387
83,3.8,2.0,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4623,0.0499,20.79,17,25,2.98,5,3.02,5,8.1071,0.0,3.0,2.98,5.1266,0.0,9.207,2.3558,2.0,2.98,3,1.97,9.207,19.619,0.375,24,2,3,3,0.0,0.0,0.4286,21,3,4,0,False,2.682
123,4.0,1.8,0.65,15,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4682,0.0481,20.14,17,23,3.06,5,3.47,7,7.7645,0.0,5.0,3.06,5.1168,0.0,8.103,2.2543,2.0,3.06,3.44,1.89,8.103,14.869,0.4545,22,4,3,2,0.0,0.0,0.4286,21,3,4,0,False,2.6789
136,4.0,2.0,0.65,12,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4592,0.0497,20.81,17,24,3.1,4,3.16,5,7.9436,0.0,6.0,3.1,5.1118,0.0,9.281,2.7175,0.0,3.1,3.16,1.93,9.281,19.324,0.5,22,5,3,3,0.0,0.0,0.4091,22,4,4,0,False,2.6937
55,3.8,1.8,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4605,0.0431,20.69,18,24,3.01,5,2.97,5,7.9476,0.0,5.0,3.01,5.1083,0.0,8.461,2.4157,2.0,3.01,2.94,1.85,8.461,16.068,0.4348,23,3,3,2,0.0,0.0,0.4,20,2,4,0,False,2.6723
58,3.8,1.8,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4658,0.0582,20.78,18,24,3.02,4,3.08,5,7.8926,0.0,9.0,3.02,5.1078,0.0,10.605,2.4403,2.0,3.02,3.06,1.98,10.605,19.736,0.4583,24,2,3,3,0.0,0.0,0.4,20,2,4,0,False,2.6736
128,4.0,2.0,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4566,0.0458,20.5,18,24,3.07,4,3.16,5,7.6383,0.0,10.0,3.07,5.1039,0.0,9.998,2.5467,2.0,3.07,3.1,1.85,9.998,21.069,0.4583,24,3,3,3,0.0,0.0,0.4737,19,4,4,0,True,2.6689
35,3.6,2.0,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4566,0.0515,20.81,18,24,3.01,4,2.9,5,7.6772,0.0,7.0,3.01,5.101,0.0,8.312,2.1248,3.0,3.01,2.87,1.93,8.312,14.907,0.5217,23,3,3,3,0.0,0.0,0.3478,23,2,4,0,False,2.6575
99,3.8,2.2,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4486,0.0554,19.63,16,24,2.89,4,2.66,7,7.7073,0.0,4.0,2.89,5.0965,0.0,9.234,1.9826,0.0,2.89,2.66,1.93,9.234,19.02,0.5,22,2,3,3,0.0,0.0,0.4091,22,3,4,0,False,2.6828
5,3.6,1.8,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4673,0.05,21,18,24,2.99,4,3.18,5,7.9254,0.0,3.0,2.99,5.0827,0.0,8.577,2.2494,0.0,2.99,3.18,1.94,8.577,15.92,0.5217,23,5,3,3,0.0,0.0,0.5,22,4,4,0,False,2.6815
139,4.0,2.0,0.65,15,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4108,0.0495,20.68,17,23,3.08,4,2.15,4,7.5563,0.0,6.0,3.08,5.0762,0.0,10.082,2.3066,0.0,3.08,2.15,1.85,10.082,21.324,0.4348,23,4,3,3,0.0,0.0,0.381,21,2,4,0,False,2.6613
65,3.8,1.8,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.464,0.0499,20.72,17,24,3.06,5,3.22,6,7.7398,0.0,10.0,3.06,5.0603,0.0,9.033,2.3051,5.0,3.06,3.1,1.93,9.033,17.912,0.4783,23,4,3,3,0.0,0.0,0.3636,22,2,4,0,False,2.6193
28,3.6,2.0,0.65,12,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4649,0.0485,20.65,17,25,2.99,5,3.29,6,7.5127,0.0,7.0,2.99,5.0567,0.0,9.93,2.0455,1.0,2.99,3.28,1.91,9.93,23.6,0.52,25,5,3,3,0.0,0.0,0.4545,22,4,4,0,False,2.6578
93,3.8,2.2,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4389,0.0579,19.5,16,24,2.92,4,2.52,7,7.2147,0.0,8.0,2.92,5.0534,0.0,8.433,1.9419,1.0,2.92,2.48,1.86,8.433,18.656,0.4583,24,3,3,3,0.0,0.0,0.381,21,3,4,0,False,2.6484
118,4.0,1.8,0.65,12,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4512,0.0533,20.9,18,23,3.13,4,3,5,8.0828,0.0,2.0,3.13,5.0464,0.0,9.342,2.8082,0.0,3.13,3,1.8,9.342,17.554,0.4348,23,2,3,2,0.0,0.0,0.3913,23,3,4,0,False,2.6586
72,3.8,2.0,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4735,0.0531,20.56,17,24,2.96,4,3.35,7,7.6902,0.0,6.0,2.96,5.0454,0.0,8.701,2.3086,2.0,2.96,3.33,1.89,8.701,15.434,0.4545,22,3,3,3,0.0,0.0,0.5,22,4,4,0,False,2.6447
