variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,U35R_wr_mean,U35R_wr_std,U35R_n_mean,U35R_worst_streak,U35R_best_streak,U35R_nm_mult_mean,U35R_nm_mult_min,U35R_nm_ruin,U35R_nm_streak,U35R_safe_mult_mean,U35R_safe_mult_min,U35R_safe_ruin,U35R_safe_streak,U35R_safe_dbl,U35R_score,O25R_wr_mean,O25R_wr_std,O25R_n_mean,O25R_worst_streak,O25R_best_streak,O25R_nm_mult_mean,O25R_nm_mult_min,O25R_nm_ruin,O25R_nm_streak,O25R_safe_mult_mean,O25R_safe_mult_min,O25R_safe_ruin,O25R_safe_streak,O25R_safe_dbl,O25R_score,O15SR_wr_mean,O15SR_wr_std,O15SR_n_mean,O15SR_worst_streak,O15SR_best_streak,O15SR_nm_mult_mean,O15SR_nm_mult_min,O15SR_nm_ruin,O15SR_nm_streak,O15SR_safe_mult_mean,O15SR_safe_mult_min,O15SR_safe_ruin,O15SR_safe_streak,O15SR_safe_dbl,O15SR_score,U35SR_wr_mean,U35SR_wr_std,U35SR_n_mean,U35SR_worst_streak,U35SR_best_streak,U35SR_nm_mult_mean,U35SR_nm_mult_min,U35SR_nm_ruin,U35SR_nm_streak,U35SR_safe_mult_mean,U35SR_safe_mult_min,U35SR_safe_ruin,U35SR_safe_streak,U35SR_safe_dbl,U35SR_score,O25SR_wr_mean,O25SR_wr_std,O25SR_n_mean,O25SR_worst_streak,O25SR_best_streak,O25SR_nm_mult_mean,O25SR_nm_mult_min,O25SR_nm_ruin,O25SR_nm_streak,O25SR_safe_mult_mean,O25SR_safe_mult_min,O25SR_safe_ruin,O25SR_safe_streak,O25SR_safe_dbl,O25SR_score,total_safe_mult,total_n
9563,2.2,1.6,0.7,12,2,1,5,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6038,0.1282,9.7,2.02,2.78,1.7786,0.0,0.0,2.02,1.8245,0.0,0.0,2.02,0.24,1.0934,0.9327,0.1424,2.82,0.2,2.46,1.2857,1.026,0.0,0.2,1.2857,1.026,0.0,0.2,0,0.9227,0.24,0.4314,0.26,0,0.26,1.0353,1.0,0.0,0,1.0353,1.0,0.0,0,0,0.5897,0.4935,0.1006,15.7,3.22,2.96,1.6395,0.0,28.0,3.04,1.8554,0.0,20.0,3.04,0.74,0.8758,0.4427,0.371,2.22,1.06,1.06,1.0848,0.533,0.0,1.06,1.0848,0.533,0.0,1.06,0,0.6752,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,8.0857,28
6174,2.0,1.8,0.55,12,3,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5638,0.0883,17.76,2.16,3.96,2.1016,0.0,4.0,2.16,2.2263,0.0,2.0,2.16,0.84,1.2623,0.7173,0.2333,3.6,0.88,2.24,1.2525,1.003,0.0,0.88,1.2525,1.003,0.0,0.88,0,0.8414,0.88,0.3283,1.66,0,1.66,1.153,1.0,0.0,0,1.153,1.0,0.0,0,0,0.8405,0.4106,0.085,19.62,4.28,2.72,0.6481,0.0,54.0,3.84,0.7885,0.0,50.0,3.86,0.36,0.0174,0.4653,0.361,2.34,1.02,0.98,1.0844,0.533,0.0,1.02,1.0844,0.533,0.0,1.02,0,0.6818,0.2944,0.1886,4.38,2.2,1.04,0.8511,0.0,8.0,2.2,0.8511,0.0,8.0,2.2,0,0.4339,7.3558,46
14465,2.4,1.8,0.7,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5783,0.1014,9.92,1.76,2.56,2.0268,0.0,2.0,1.76,2.1323,0.0,2.0,1.76,0.58,1.2196,0.9283,0.1249,3.9,0.26,3.36,1.4477,1.26,0.0,0.26,1.4477,1.26,0.0,0.26,0,1.0023,0.14,0.3505,0.14,0,0.14,1.0284,1.0,0.0,0,1.0284,1.0,0.0,0,0,0.5562,0.508,0.0514,27.66,4.16,4.12,2.423,0.0,40.0,3.92,2.1046,0.0,36.0,3.92,0.96,0.8447,0.3513,0.2174,3.3,1.92,0.98,1.084,0.0,2.0,1.92,1.084,0.0,2.0,1.92,0,0.6274,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,8.797,42
9258,2.2,1.6,0.6,12,3,1,7,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5614,0.0814,16.22,2.42,3.24,2.0417,0.0,8.0,2.36,2.1715,0.0,6.0,2.36,0.86,1.1942,0.5823,0.3025,2.96,1.04,1.54,1.1751,0.533,0.0,1.04,1.1751,0.533,0.0,1.04,0,0.7622,1.0,0.0,1.82,0,1.82,1.16,1.045,0.0,0,1.16,1.045,0.0,0,0,0.88,0.4335,0.1122,17.08,3.88,2.42,1.4206,0.0,40.0,3.44,1.6582,0.0,30.0,3.48,0.64,0.6591,0.5273,0.3525,2.44,1.06,1.16,1.0839,0.0,0.0,1.06,1.0839,0.0,0.0,1.06,0,0.7001,0.2543,0.2142,3.06,2.12,0.72,0.8939,0.0,8.0,2.1,0.8985,0.0,8.0,2.1,0.02,0.4455,8.1472,41
16008,2.6,1.4,0.55,18,3,1,7,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5265,0.0918,16.54,2.9,3.48,2.1729,0.0,18.0,2.7,2.3265,0.0,12.0,2.7,0.88,1.2012,0.5237,0.3129,2.86,1.14,1.4,1.184,0.0,2.0,1.14,1.184,0.0,2.0,1.14,0,0.7291,1.0,0.0,2.64,0,2.64,1.1808,1.073,0.0,0,1.1808,1.073,0.0,0,0,0.8904,0.323,0.0979,15.02,5.6,2.04,0.7872,0.0,76.0,4,0.9907,0.0,62.0,4,0.42,-0.0277,0.38,0.4027,1.44,0.7,0.64,1.0839,0.533,0.0,0.7,1.0839,0.533,0.0,0.7,0,0.656,0.1573,0.1816,3.02,2.2,0.5,0.863,0.0,4.0,2.18,0.868,0.0,4.0,2.18,0.02,0.4412,7.6339,39
12851,2.4,1.6,0.5,12,4,2,7,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4433,0.1019,18.38,4.02,2.96,1.3212,0.0,46.0,3.54,1.6094,0.0,34.0,3.54,0.66,0.5977,0.6399,0.2096,4.5,1.26,2.34,1.3982,0.985,0.0,1.26,1.4023,0.985,0.0,1.26,0.02,0.8931,1.0,0.0,1.96,0,1.96,1.1952,1.045,0.0,0,1.1952,1.045,0.0,0,0,0.8976,0.3523,0.115,19.02,6.6,2.48,0.3387,0.0,90.0,4.18,0.692,0.0,70.0,4.2,0.34,-0.2483,0.4127,0.3785,2.04,1.06,0.84,1.0836,0.533,0.0,1.06,1.0836,0.533,0.0,1.06,0,0.6656,0.1884,0.1908,3.72,2.54,0.66,0.8191,0.0,16.0,2.48,0.8191,0.0,16.0,2.48,0,0.3061,6.8016,47
7218,2.0,2.0,0.55,15,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5464,0.0917,20.16,2.72,3.68,1.9847,0.0,12.0,2.68,2.0277,0.0,12.0,2.68,0.78,1.0578,0.6816,0.2198,3.94,1.02,2.22,1.2584,0.933,0.0,1.02,1.2584,0.933,0.0,1.02,0,0.8337,0.94,0.2399,1.66,0,1.66,1.159,1.0,0.0,0,1.159,1.0,0.0,0,0,0.8615,0.4835,0.0849,23.04,4.1,3.56,1.504,0.0,48.0,3.56,1.6098,0.0,38.0,3.54,0.64,0.5699,0.5188,0.3781,2.84,1.12,1.22,1.0834,0.0,2.0,1.12,1.0834,0.0,2.0,1.12,0,0.6773,0.278,0.1903,4.9,2.66,0.92,0.7987,0.0,18.0,2.52,0.8044,0.0,18.0,2.52,0.02,0.3056,7.9427,53
17413,2.6,1.6,0.7,15,3,1,7,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.6013,0.1184,8.32,1.82,2.88,1.754,0.799,0.0,1.82,1.8534,0.799,0.0,1.82,0.44,1.1071,0.8067,0.3305,1.58,0.2,1.38,1.1913,1.0,0.0,0.2,1.1913,1.0,0.0,0.2,0,0.8377,0.1,0.303,0.1,0,0.1,1.0188,1.0,0.0,0,1.0188,1.0,0.0,0,0,0.5394,0.4025,0.0733,17.68,4.36,2.34,1.2592,0.0,56.0,3.74,1.1983,0.0,52.0,3.74,0.48,0.1999,0.3976,0.3759,2.04,1.16,0.82,1.0791,0.533,0.0,1.16,1.0834,0.533,0.0,1.16,0.02,0.661,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,7.3452,28
17701,2.6,1.8,0.5,12,4,1,7,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.5547,0.0726,18,2.58,3.9,3.232,0.0,10.0,2.54,3.0015,0.0,8.0,2.54,1.06,1.5872,0.5387,0.3213,2.92,1.1,1.32,1.208,0.0,2.0,1.1,1.208,0.0,2.0,1.1,0,0.7456,0.64,0.4849,0.82,0,0.82,1.1252,1.0,0.0,0,1.1252,1.0,0.0,0,0,0.7546,0.3264,0.1017,19.52,6.56,2.14,0.7726,0.0,80.0,4.22,1.3908,0.0,60.0,4.24,0.6,0.1933,0.3073,0.3527,1.84,1.12,0.58,1.0784,0.533,0.0,1.12,1.083,0.533,0.0,1.12,0.02,0.6337,0.2232,0.2136,3.68,2.46,0.7,0.9094,0.0,16.0,2.42,0.9196,0.0,16.0,2.42,0.04,0.3668,8.7281,43
14544,2.4,1.8,0.7,18,3,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5269,0.1114,10.18,2.14,2.98,1.8105,0.0,6.0,2.14,1.8891,0.0,6.0,2.14,0.42,1.0426,0.9277,0.153,2.78,0.2,2.44,1.3037,1.026,0.0,0.2,1.3037,1.026,0.0,0.2,0,0.9302,0.06,0.2399,0.06,0,0.06,1.0097,1.0,0.0,0,1.0097,1.0,0.0,0,0,0.5229,0.3939,0.0877,16.52,3.74,2.1,1.661,0.0,46.0,3.44,1.6125,0.0,44.0,3.46,0.58,0.4844,0.4463,0.3373,2.36,1.02,1.08,1.0826,0.533,0.0,1.02,1.0826,0.533,0.0,1.02,0,0.6752,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,7.8976,30
16884,2.6,1.6,0.55,12,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5687,0.0651,20.24,2.58,3.84,2.7881,0.0,8.0,2.58,2.5371,0.0,8.0,2.58,0.88,1.3592,0.8617,0.1675,3.72,0.48,2.84,1.3311,1.007,0.0,0.48,1.3311,1.007,0.0,0.48,0,0.9241,1.0,0.0,2.22,0,2.22,1.1918,1.045,0.0,0,1.1918,1.045,0.0,0,0,0.8959,0.3645,0.0691,22.58,5.78,2.62,1.1102,0.0,74.0,4.16,1.4662,0.0,50.0,4.16,0.7,0.3424,0.367,0.3759,1.9,1.1,0.68,1.0784,0.533,0.0,1.1,1.0824,0.533,0.0,1.1,0.02,0.6513,0.144,0.1779,3.3,2.46,0.48,0.8138,0.0,10.0,2.4,0.8219,0.0,10.0,2.4,0.02,0.3541,8.4305,51
6751,2.0,1.8,0.7,18,2,1,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.6654,0.1053,10.72,2,4.14,1.6758,0.0,0.0,2,1.7012,0.0,0.0,2,0.12,1.0502,0.9483,0.1335,2.88,0.14,2.64,1.2381,1.002,0.0,0.14,1.2381,1.002,0.0,0.14,0,0.9035,0.9,0.303,1.02,0,1.02,1.0884,1.0,0.0,0,1.0884,1.0,0.0,0,0,0.8142,0.4847,0.1001,13.84,2.84,2.64,1.5444,0.0,14.0,2.8,1.6567,0.0,14.0,2.8,0.52,0.8338,0.528,0.3363,2.22,0.92,1.06,1.0822,0.533,0.0,0.92,1.0822,0.533,0.0,0.92,0,0.6995,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,7.7666,28
14010,2.4,1.8,0.55,15,3,1,7,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5213,0.0908,15.52,2.48,3.48,2.314,0.0,8.0,2.46,2.3855,0.0,6.0,2.44,0.9,1.2891,0.57,0.2813,2.96,1.12,1.56,1.2072,0.8,0.0,1.12,1.2072,0.8,0.0,1.12,0,0.7746,0.46,0.5035,0.6,0,0.6,1.0893,1.0,0.0,0,1.0893,1.0,0.0,0,0,0.6826,0.3474,0.1147,15.44,5.42,2.12,0.9295,0.0,68.0,3.94,1.0218,0.0,62.0,3.94,0.42,-0.0049,0.46,0.3949,1.62,0.7,0.84,1.0815,0.533,0.0,0.7,1.0815,0.533,0.0,0.7,0,0.6787,0.1927,0.1916,3.38,2.38,0.62,0.9228,0.0,8.0,2.36,0.9271,0.0,8.0,2.36,0.02,0.4414,7.7124,36
15846,2.6,1.4,0.5,18,3,1,7,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5318,0.0822,16.72,2.9,3.66,2.1118,0.0,12.0,2.82,2.2934,0.0,6.0,2.82,0.86,1.2462,0.4877,0.3411,2.78,1.12,1.26,1.1534,0.0,4.0,1.12,1.1534,0.0,4.0,1.12,0,0.683,1.0,0.0,2.46,0,2.46,1.1476,1.073,0.0,0,1.1476,1.073,0.0,0,0,0.8738,0.3263,0.1024,15.32,5.52,1.92,0.538,0.0,76.0,4.16,0.8203,0.0,62.0,4.16,0.36,-0.112,0.388,0.4343,1.26,0.62,0.62,1.0768,0.8,0.0,0.62,1.0814,0.8,0.0,0.62,0.02,0.6571,0.202,0.2115,3.36,2.26,0.68,0.9149,0.0,4.0,2.26,0.9149,0.0,4.0,2.26,0,0.4781,7.411,39
6135,2.0,1.8,0.5,18,3,2,7,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5912,0.0921,16.78,2.04,4.3,2.0632,0.0,0.0,2.04,2.1944,0.0,0.0,2.04,0.8,1.2746,0.725,0.2027,3.76,0.82,2.32,1.2606,1.005,0.0,0.82,1.2606,1.005,0.0,0.82,0,0.8478,0.9,0.303,1.58,0,1.58,1.1544,1.0,0.0,0,1.1544,1.0,0.0,0,0,0.8472,0.4304,0.0959,17.6,4.3,2.74,0.9139,0.0,48.0,3.64,1.0682,0.0,40.0,3.64,0.44,0.2632,0.5047,0.349,2.46,1,1.16,1.0812,0.584,0.0,1,1.0812,0.584,0.0,1,0,0.692,0.3408,0.2144,4.58,2.36,1.2,0.907,0.0,16.0,2.32,0.907,0.0,16.0,2.32,0,0.3957,7.6658,43
9659,2.2,1.6,0.7,15,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6517,0.0952,13.78,1.62,3.04,2.4189,0.0,0.0,1.62,2.4755,0.0,0.0,1.62,0.92,1.4333,0.799,0.1482,3.98,0.78,2.48,1.3639,1.214,0.0,0.78,1.3639,1.214,0.0,0.78,0,0.9216,0.32,0.4712,0.32,0,0.32,1.0294,1.0,0.0,0,1.0294,1.0,0.0,0,0,0.6107,0.554,0.0499,27.04,3.48,4.42,2.8081,0.0,28.0,3.48,2.6541,0.0,14.0,3.48,1.26,1.3533,0.422,0.2491,3.64,1.72,1.18,1.0811,0.0,2.0,1.7,1.0811,0.0,2.0,1.7,0,0.6471,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,9.604,46
7914,2.2,1.4,None,18,3,2,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5552,0.0888,17.94,2.26,3.86,2.3355,0.0,6.0,2.22,2.3641,0.0,6.0,2.22,0.92,1.2886,0.63,0.2202,3.64,1.12,1.9,1.2301,0.797,0.0,1.12,1.2301,0.797,0.0,1.12,0,0.804,1.0,0.0,2.72,0,2.72,1.1789,1.073,0.0,0,1.1789,1.073,0.0,0,0,0.8895,0.4995,0.0904,19.66,3.74,3.5,1.7482,0.0,44.0,3.28,1.6534,0.0,42.0,3.28,0.64,0.5566,0.4713,0.367,1.98,0.88,0.94,1.0806,0.533,0.0,0.88,1.0806,0.533,0.0,0.88,0,0.6817,0.2723,0.2404,2.92,1.9,0.78,0.9541,0.0,6.0,1.9,0.9582,0.0,6.0,1.9,0.02,0.5008,8.4653,44
