variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,U35R_wr_mean,U35R_wr_std,U35R_n_mean,U35R_worst_streak,U35R_best_streak,U35R_nm_mult_mean,U35R_nm_mult_min,U35R_nm_ruin,U35R_nm_streak,U35R_safe_mult_mean,U35R_safe_mult_min,U35R_safe_ruin,U35R_safe_streak,U35R_safe_dbl,U35R_score,O25R_wr_mean,O25R_wr_std,O25R_n_mean,O25R_worst_streak,O25R_best_streak,O25R_nm_mult_mean,O25R_nm_mult_min,O25R_nm_ruin,O25R_nm_streak,O25R_safe_mult_mean,O25R_safe_mult_min,O25R_safe_ruin,O25R_safe_streak,O25R_safe_dbl,O25R_score,O15SR_wr_mean,O15SR_wr_std,O15SR_n_mean,O15SR_worst_streak,O15SR_best_streak,O15SR_nm_mult_mean,O15SR_nm_mult_min,O15SR_nm_ruin,O15SR_nm_streak,O15SR_safe_mult_mean,O15SR_safe_mult_min,O15SR_safe_ruin,O15SR_safe_streak,O15SR_safe_dbl,O15SR_score,U35SR_wr_mean,U35SR_wr_std,U35SR_n_mean,U35SR_worst_streak,U35SR_best_streak,U35SR_nm_mult_mean,U35SR_nm_mult_min,U35SR_nm_ruin,U35SR_nm_streak,U35SR_safe_mult_mean,U35SR_safe_mult_min,U35SR_safe_ruin,U35SR_safe_streak,U35SR_safe_dbl,U35SR_score,O25SR_wr_mean,O25SR_wr_std,O25SR_n_mean,O25SR_worst_streak,O25SR_best_streak,O25SR_nm_mult_mean,O25SR_nm_mult_min,O25SR_nm_ruin,O25SR_nm_streak,O25SR_safe_mult_mean,O25SR_safe_mult_min,O25SR_safe_ruin,O25SR_safe_streak,O25SR_safe_dbl,O25SR_score,total_safe_mult,total_n
18138,2.6,1.8,0.6,18,4,2,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5562,0.0753,18.08,2.68,4.14,3.2085,0.0,12.0,2.58,3.1974,1.908,0.0,2.58,1.1,1.7656,0.5613,0.2892,2.94,1.02,1.44,1.2615,0.8,0.0,1.02,1.2615,0.8,0.0,1.02,0,0.7991,0.58,0.4986,0.8,0,0.8,1.1195,1.0,0.0,0,1.1195,1.0,0.0,0,0,0.7337,0.4183,0.0807,22.68,4.46,2.52,2.4646,0.0,66.0,3.74,2.4893,0.0,42.0,3.78,1.06,0.9501,0.1973,0.2929,1.7,1.2,0.42,0.9413,0.533,0.0,1.2,0.9413,0.533,0.0,1.2,0,0.5298,0.2097,0.2217,3.06,2.1,0.6,1.008,0.0,10.0,2.08,1.0127,0.0,10.0,2.08,0.02,0.4693,10.0217,46
16737,2.6,1.6,0.5,12,4,2,7,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5819,0.0861,18.56,2.64,4.52,3.3092,0.0,10.0,2.6,3.1883,1.128,0.0,2.6,1.18,1.7687,0.55,0.345,2.46,0.94,1.26,1.1511,0.533,0.0,0.94,1.1511,0.533,0.0,0.94,0,0.7406,1.0,0.0,1.8,0,1.8,1.1757,1.045,0.0,0,1.1757,1.045,0.0,0,0,0.8879,0.2881,0.0965,19.22,7.34,2.04,0.2742,0.0,88.0,4.28,1.1271,0.0,56.0,4.36,0.46,0.09,0.435,0.3939,1.96,1.04,0.8,1.058,0.0,2.0,1.04,1.058,0.0,2.0,1.04,0,0.6395,0.1733,0.2136,3.44,2.52,0.52,0.7505,0.0,16.0,2.5,0.7505,0.0,16.0,2.5,0,0.2672,8.4507,44
17862,2.6,1.8,0.55,12,4,1,7,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5651,0.0721,18.02,2.48,3.8,3.4845,0.0,4.0,2.48,3.1883,0.0,2.0,2.48,1.06,1.7437,0.649,0.2713,2.68,0.88,1.56,1.2505,0.8,0.0,0.88,1.2505,0.8,0.0,0.88,0,0.8199,0.52,0.5047,0.78,0,0.78,1.116,1.0,0.0,0,1.116,1.0,0.0,0,0,0.714,0.2814,0.1013,19.28,7.88,2.04,0.3037,0.0,92.0,4.3,0.9852,0.0,66.0,4.26,0.48,-0.083,0.2817,0.3634,1.7,1.04,0.5,1.0285,0.533,0.0,1.04,1.0285,0.533,0.0,1.04,0,0.5988,0.1049,0.1444,3.38,2.76,0.38,0.7015,0.0,14.0,2.64,0.7073,0.0,14.0,2.64,0.02,0.2451,8.2758,43
18669,2.6,2.0,0.5,12,4,1,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5278,0.081,18.02,2.72,3.6,3.4188,0.0,10.0,2.66,3.1851,0.0,6.0,2.66,1.16,1.6909,0.5857,0.3139,2.62,0.98,1.48,1.2206,0.533,0.0,0.98,1.2206,0.533,0.0,0.98,0,0.786,0.58,0.4986,0.78,0,0.78,1.1119,1.0,0.0,0,1.1119,1.0,0.0,0,0,0.73,0.3851,0.0651,22.14,5.24,2.74,1.4809,0.0,70.0,4.04,2.1319,0.0,40.0,4.1,0.96,0.7815,0.2983,0.367,1.84,1.12,0.6,1.0419,0.533,0.0,1.12,1.0419,0.533,0.0,1.12,0,0.6104,0.1798,0.1942,3.34,2.3,0.64,0.8444,0.0,12.0,2.28,0.8444,0.0,12.0,2.28,0,0.3561,9.5358,46
18081,2.6,1.8,0.6,15,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5763,0.0666,20.44,2.32,4.54,3.3727,0.0,4.0,2.3,3.1846,1.025,0.0,2.32,1.14,1.7652,0.6157,0.2248,2.86,1.02,1.58,1.2823,0.932,0.0,1.02,1.2823,0.932,0.0,1.02,0,0.8259,0.56,0.5014,0.74,0,0.74,1.1107,1.0,0.0,0,1.1107,1.0,0.0,0,0,0.7234,0.4561,0.0646,25.22,4.86,4,1.8947,0.0,72.0,4.02,1.9224,0.0,52.0,4.02,0.82,0.578,0.318,0.3885,1.8,1.18,0.56,0.9971,0.533,0.0,1.18,0.9971,0.533,0.0,1.18,0,0.5939,0.3822,0.1823,4.42,2.18,1.26,1.2616,0.0,6.0,2.18,1.2787,0.0,6.0,2.18,0.1,0.694,9.7758,52
17811,2.6,1.8,0.5,18,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.576,0.055,20.64,2.42,4.46,3.3712,0.0,6.0,2.4,3.183,0.0,2.0,2.38,1.1,1.7443,0.5627,0.3438,2.72,1.06,1.5,1.197,0.0,2.0,1.06,1.197,0.0,2.0,1.06,0,0.7473,0.52,0.5047,0.72,0,0.72,1.1093,1.0,0.0,0,1.1093,1.0,0.0,0,0,0.7107,0.4292,0.0668,24.94,5.58,4,1.1726,0.0,78.0,3.96,2.5931,0.0,32.0,4.04,1.14,1.1053,0.2797,0.3545,1.86,1.16,0.62,1.0138,0.533,0.0,1.16,1.0138,0.533,0.0,1.16,0,0.5908,0.2562,0.219,3.76,2.24,0.72,0.9313,0.0,14.0,2.2,0.9313,0.0,14.0,2.2,0,0.4025,10.0275,50
18727,2.6,2.0,0.5,15,4,1,7,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.5176,0.0845,18.02,2.72,3.22,3.4944,0.0,14.0,2.68,3.1804,0.0,10.0,2.66,1.2,1.6455,0.5997,0.2675,3.08,1.04,1.62,1.2359,0.0,0.0,1.04,1.2359,0.0,0.0,1.04,0,0.7979,0.74,0.4431,1.04,0,1.04,1.1623,1.0,0.0,0,1.1623,1.0,0.0,0,0,0.8032,0.3408,0.1051,18.36,5.9,2.32,0.6436,0.0,80.0,4.02,1.0834,0.0,62.0,4.02,0.48,0.0239,0.3563,0.363,2.12,1.26,0.74,1.0436,0.533,0.0,1.26,1.0436,0.533,0.0,1.26,0,0.6287,0.1845,0.1794,3.88,2.64,0.62,0.944,0.0,20.0,2.58,0.9621,0.0,20.0,2.58,0.08,0.3364,8.6677,45
17926,2.6,1.8,0.55,15,4,2,7,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.5779,0.0871,17.6,2.3,4.08,3.4494,0.0,2.0,2.3,3.1758,2.4,0.0,2.3,1.02,1.7613,0.549,0.2817,2.78,1.12,1.4,1.2767,0.933,0.0,1.12,1.2767,0.933,0.0,1.12,0,0.8031,0.62,0.4903,0.86,0,0.86,1.1408,1.0,0.0,0,1.1408,1.0,0.0,0,0,0.7564,0.3147,0.0916,18.44,6.64,2.2,0.4965,0.0,84.0,4.24,1.0902,0.0,60.0,4.32,0.48,0.0395,0.2873,0.3383,1.76,1.08,0.56,0.9948,0.0,2.0,1.08,0.9948,0.0,2.0,1.08,0,0.5636,0.1703,0.2007,3.94,2.94,0.56,0.7762,0.0,28.0,2.72,0.796,0.0,28.0,2.72,0.06,0.1691,8.4743,41
19060,2.6,2.0,0.6,15,4,2,7,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.519,0.0634,17.54,2.58,3.16,3.5434,0.0,6.0,2.56,3.1712,0.0,6.0,2.56,1.22,1.6813,0.5753,0.2682,2.9,1.08,1.44,1.2554,0.594,0.0,1.08,1.2554,0.594,0.0,1.08,0,0.8003,0.66,0.4785,0.88,0,0.88,1.1329,1.0,0.0,0,1.1329,1.0,0.0,0,0,0.7645,0.3311,0.0753,18.94,5.26,1.92,0.7989,0.0,80.0,3.98,1.2478,0.0,58.0,3.96,0.56,0.1432,0.2557,0.3247,2.02,1.4,0.54,0.9325,0.0,6.0,1.4,0.9325,0.0,6.0,1.4,0,0.483,0.2333,0.2363,2.82,1.94,0.68,1.0762,0.0,4.0,1.94,1.0762,0.0,4.0,1.94,0,0.5681,8.816,41
16734,2.6,1.6,0.5,12,4,2,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5986,0.0593,18.92,2.48,4.32,3.3628,0.0,8.0,2.42,3.1692,0.0,2.0,2.44,1.1,1.7442,0.5367,0.283,2.78,1.12,1.42,1.2712,0.8,0.0,1.12,1.2712,0.8,0.0,1.12,0,0.7966,1.0,0.0,1.94,0,1.94,1.1894,1.045,0.0,0,1.1894,1.045,0.0,0,0,0.8947,0.392,0.0751,21.98,5.4,2.76,1.1458,0.0,74.0,4.18,1.9253,0.0,40.0,4.22,0.84,0.6802,0.2623,0.3263,1.9,1.24,0.6,0.9857,0.0,4.0,1.24,0.9857,0.0,4.0,1.24,0,0.5315,0.2998,0.1839,3.92,2.14,0.92,1.0774,0.0,8.0,2.1,1.0902,0.0,8.0,2.1,0.04,0.555,9.631,46
