variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,worst_streak,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_streak,safe_dbl,score
171,2.4,1.8,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5344,0.0658,22.34,2.83,4.922,0.0,4.0,2.83,3.9266,0.0,5.288,1.4176,2.0,2.83,1.74,2.1036
1422,2.6,2.0,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5025,0.0592,21.85,2.98,4.8493,0.0,6.0,2.98,3.92,0.0,5.627,1.6234,2.0,2.98,1.68,2.0907
1791,2.6,2.2,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4695,0.0612,21.36,2.89,4.828,0.0,6.0,2.89,3.9077,0.0,6.004,1.6438,1.0,2.89,1.68,2.0847
1746,2.6,2.2,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4785,0.0565,21.27,2.87,4.7823,0.0,8.0,2.87,3.8958,0.0,5.888,1.6629,2.0,2.87,1.66,2.0715
1494,2.6,2.0,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4709,0.0625,21.71,3.01,4.7407,0.0,6.0,3.01,3.8647,0.0,6.231,1.6217,2.0,3.01,1.67,2.0536
783,2.4,2.2,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4945,0.0587,21.69,2.86,4.61,0.0,3.0,2.86,3.8514,0.0,5.262,1.2616,0.0,2.86,1.77,2.074
819,2.4,2.2,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4865,0.0617,21.69,2.86,4.3961,0.0,7.0,2.86,3.8466,0.0,5.355,1.2558,1.0,2.86,1.7,2.0593
1755,2.6,2.2,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4939,0.0693,21.47,3,4.6055,0.0,6.0,3,3.8412,0.0,6.043,1.6892,3.0,3,1.59,2.0388
2754,2.8,2.2,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4298,0.0652,20.89,3.31,4.4012,0.0,16.0,3.3,3.8357,0.0,6.829,2.0365,2.0,3.28,1.55,2.0268
1503,2.6,2.0,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5007,0.0517,21.74,3,4.8915,0.0,4.0,3,3.7951,0.0,6.517,1.9081,0.0,3,1.61,2.0478
