variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,U35R_wr_mean,U35R_wr_std,U35R_n_mean,U35R_worst_streak,U35R_best_streak,U35R_nm_mult_mean,U35R_nm_mult_min,U35R_nm_ruin,U35R_nm_streak,U35R_safe_mult_mean,U35R_safe_mult_min,U35R_safe_ruin,U35R_safe_streak,U35R_safe_dbl,U35R_score,O25R_wr_mean,O25R_wr_std,O25R_n_mean,O25R_worst_streak,O25R_best_streak,O25R_nm_mult_mean,O25R_nm_mult_min,O25R_nm_ruin,O25R_nm_streak,O25R_safe_mult_mean,O25R_safe_mult_min,O25R_safe_ruin,O25R_safe_streak,O25R_safe_dbl,O25R_score,O15SR_wr_mean,O15SR_wr_std,O15SR_n_mean,O15SR_worst_streak,O15SR_best_streak,O15SR_nm_mult_mean,O15SR_nm_mult_min,O15SR_nm_ruin,O15SR_nm_streak,O15SR_safe_mult_mean,O15SR_safe_mult_min,O15SR_safe_ruin,O15SR_safe_streak,O15SR_safe_dbl,O15SR_score,U35SR_wr_mean,U35SR_wr_std,U35SR_n_mean,U35SR_worst_streak,U35SR_best_streak,U35SR_nm_mult_mean,U35SR_nm_mult_min,U35SR_nm_ruin,U35SR_nm_streak,U35SR_safe_mult_mean,U35SR_safe_mult_min,U35SR_safe_ruin,U35SR_safe_streak,U35SR_safe_dbl,U35SR_score,O25SR_wr_mean,O25SR_wr_std,O25SR_n_mean,O25SR_worst_streak,O25SR_best_streak,O25SR_nm_mult_mean,O25SR_nm_mult_min,O25SR_nm_ruin,O25SR_nm_streak,O25SR_safe_mult_mean,O25SR_safe_mult_min,O25SR_safe_ruin,O25SR_safe_streak,O25SR_safe_dbl,O25SR_score,total_safe_mult,total_n
961,1.8,1.4,0.7,18,4,1,7,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.717,0.0835,15.7,1.94,5.38,1.9278,0.0,2.0,1.94,2.0321,0.0,2.0,1.94,0.56,1.2111,0.93,0.0914,6.1,0.42,5.22,1.4741,1.225,0.0,0.42,1.4741,1.225,0.0,0.42,0,1.016,1.0,0.0,2.34,0,2.34,1.1251,1.027,0.0,0,1.1251,1.027,0.0,0,0,0.8625,0.5087,0.1067,21.42,3.62,3.56,1.1502,0.0,32.0,3.36,1.1896,0.0,32.0,3.36,0.4,0.4274,0.4129,0.2361,4.2,2.14,1.26,0.9243,0.0,8.0,2.04,0.9243,0.0,8.0,2.04,0,0.506,0.3,0.4629,0.3,0,0.3,1.018,1.0,0.0,0,1.018,1.0,0.0,0,0,0.599,7.7632,48
964,1.8,1.4,0.7,18,4,2,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.6965,0.0873,14.94,1.92,5.3,1.6999,0.0,6.0,1.9,1.7492,0.0,6.0,1.9,0.26,1.0235,0.9372,0.0934,6.14,0.38,5.38,1.4715,1.216,0.0,0.38,1.4715,1.216,0.0,0.38,0,1.0169,1.0,0.0,2.36,0,2.36,1.1296,1.027,0.0,0,1.1296,1.027,0.0,0,0,0.8648,0.5844,0.0746,25.98,3.08,4.96,2.037,0.0,20.0,3.02,2.0049,0.0,18.0,3.02,0.72,0.9978,0.4232,0.2446,4.66,2.18,1.38,0.8698,0.0,14.0,2.14,0.8698,0.0,14.0,2.14,0,0.4219,0.34,0.4785,0.34,0,0.34,1.0204,1.0,0.0,0,1.0204,1.0,0.0,0,0,0.6122,8.2454,51
2902,1.8,1.8,0.7,18,4,1,5,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.7099,0.0774,15.14,1.74,5.1,1.8402,0.0,2.0,1.74,1.9092,0.0,2.0,1.74,0.36,1.1476,0.9195,0.1059,6.1,0.5,5.02,1.4714,1.212,0.0,0.5,1.4714,1.212,0.0,0.5,0,1.0115,0.92,0.274,1.28,0,1.28,1.095,1.0,0.0,0,1.095,1.0,0.0,0,0,0.8235,0.5243,0.0858,21.22,3.4,3.76,1.1043,0.0,30.0,3.16,1.2078,0.0,30.0,3.16,0.48,0.4612,0.3331,0.2208,4.1,2.44,0.98,0.8265,0.0,16.0,2.34,0.8265,0.0,16.0,2.34,0,0.3532,0.22,0.4185,0.22,0,0.22,1.0132,1.0,0.0,0,1.0132,1.0,0.0,0,0,0.5726,7.5231,47
3883,1.8,2.0,0.7,18,4,2,5,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.706,0.0951,14.88,1.7,5.1,1.8231,0.0,4.0,1.68,1.8863,0.0,4.0,1.68,0.34,1.1149,0.9564,0.084,5.98,0.28,5.4,1.4709,1.3,0.0,0.28,1.4709,1.3,0.0,0.28,0,1.0224,0.84,0.3703,1.3,0,1.3,1.0964,1.0,0.0,0,1.0964,1.0,0.0,0,0,0.8002,0.4996,0.113,13.84,3.5,2.8,1.0179,0.0,38.0,3.12,1.0503,0.0,38.0,3.12,0.2,0.295,0.223,0.2752,2.4,1.7,0.52,0.8704,0.0,6.0,1.68,0.8704,0.0,6.0,1.68,0,0.4421,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,7.3743,35
3826,1.8,2.0,0.7,15,4,2,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.6651,0.0707,15.04,1.78,4.6,1.7626,0.0,4.0,1.76,1.8157,0.0,4.0,1.76,0.26,1.0674,0.9325,0.0913,6.14,0.44,5.22,1.4702,1.277,0.0,0.44,1.4702,1.277,0.0,0.44,0,1.0149,0.94,0.2399,1.46,0,1.46,1.1075,1.0,0.0,0,1.1075,1.0,0.0,0,0,0.8357,0.597,0.0907,15.06,2.38,3.86,1.9166,0.0,4.0,2.34,2.0251,0.0,4.0,2.34,0.66,1.1517,0.4738,0.2844,3.02,1.5,1.26,1.0152,0.533,0.0,1.5,1.0152,0.533,0.0,1.5,0,0.6497,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,8.4337,40
16025,2.6,1.4,0.55,18,4,1,5,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.535,0.0848,18.7,3.2,3.36,1.8805,0.0,24.0,3.08,1.9092,0.0,22.0,3.08,0.68,0.8951,0.7169,0.2023,4.3,1,2.6,1.4659,1.002,0.0,1,1.4699,1.002,0.0,1,0.02,0.95,1.0,0.0,3.04,0,3.04,1.2436,1.073,0.0,0,1.2436,1.073,0.0,0,0,0.9218,0.4043,0.0907,20.74,4.76,2.8,1.8006,0.0,66.0,3.88,2.1327,0.0,42.0,3.84,0.94,0.7676,0.276,0.3397,1.82,1.16,0.54,0.9685,0.0,4.0,1.16,0.9685,0.0,4.0,1.16,0,0.5271,0.169,0.2164,3.42,2.5,0.5,0.7247,0.0,22.0,2.44,0.7247,0.0,22.0,2.44,0,0.1931,8.4486,49
3817,1.8,2.0,0.7,15,4,1,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.6664,0.0757,14.94,1.92,5.06,1.7459,0.0,4.0,1.9,1.78,0.0,4.0,1.9,0.16,1.0499,0.935,0.0917,6,0.38,5.1,1.4688,1.212,0.0,0.38,1.4688,1.212,0.0,0.38,0,1.0149,0.86,0.3505,1.36,0,1.36,1.0999,1.0,0.0,0,1.0999,1.0,0.0,0,0,0.808,0.5983,0.1367,12.94,2.32,3.7,1.6189,0.0,8.0,2.22,1.6725,0.0,8.0,2.22,0.28,0.9357,0.4559,0.3046,2.8,1.4,1.14,0.9903,0.0,4.0,1.36,0.9903,0.0,4.0,1.36,0,0.5919,0.0,0.0,0,0,0,1.0,1.0,0.0,0,1.0,1.0,0.0,0,0,0.5,8.0115,35
970,1.8,1.4,0.7,18,4,2,7,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.7314,0.0795,15.56,1.7,5.48,2.0442,1.679,0.0,1.7,2.1287,1.679,0.0,1.7,0.52,1.2838,0.9417,0.0932,5.96,0.34,5.28,1.4685,1.285,0.0,0.34,1.4685,1.285,0.0,0.34,0,1.0168,1.0,0.0,2.38,0,2.38,1.1302,1.027,0.0,0,1.1302,1.027,0.0,0,0,0.8651,0.5425,0.0919,22.22,3.6,3.78,1.4527,0.0,34.0,3.22,1.4674,0.0,34.0,3.22,0.56,0.5564,0.3136,0.2097,4.42,2.42,1.06,0.8058,0.0,18.0,2.36,0.8058,0.0,18.0,2.36,0,0.317,0.24,0.4314,0.24,0,0.24,1.0144,1.0,0.0,0,1.0144,1.0,0.0,0,0,0.5792,8.015,48
1888,1.8,1.6,0.7,15,4,2,7,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.7182,0.0822,15.7,1.76,5.26,1.9199,0.0,6.0,1.72,2.019,0.0,6.0,1.72,0.58,1.165,0.9439,0.0795,5.94,0.34,5.2,1.4684,1.288,0.0,0.34,1.4684,1.288,0.0,0.34,0,1.0174,0.9,0.303,1.4,0,1.4,1.1035,1.0,0.0,0,1.1035,1.0,0.0,0,0,0.8217,0.5331,0.0919,22.08,3.42,4.04,1.4285,0.0,26.0,3.12,1.5245,0.0,26.0,3.12,0.6,0.6622,0.2708,0.1926,4.18,2.48,1.02,0.7575,0.0,14.0,2.46,0.7575,0.0,14.0,2.46,0,0.32,0.36,0.4849,0.36,0,0.36,1.0216,1.0,0.0,0,1.0216,1.0,0.0,0,0,0.6188,7.8945,47
12845,2.4,1.6,0.5,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5096,0.0502,22.34,3.82,4.3,1.4751,0.0,38.0,3.6,1.3662,0.0,38.0,3.6,0.46,0.456,0.7723,0.1853,5.56,1,3.36,1.4631,0.983,0.0,1,1.4672,0.983,0.0,1,0.02,0.9653,1.0,0.0,2.22,0,2.22,1.1894,1.045,0.0,0,1.1894,1.045,0.0,0,0,0.8947,0.4496,0.0721,25.46,5.38,4.02,0.8341,0.0,82.0,3.98,1.8546,0.0,42.0,3.98,0.88,0.6422,0.284,0.3454,2.12,1.34,0.62,1.0118,0.0,4.0,1.34,1.0118,0.0,4.0,1.34,0,0.5511,0.292,0.1933,3.98,2.06,0.88,1.0688,0.0,6.0,2.06,1.0688,0.0,6.0,2.06,0,0.562,7.958,59
