variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,n_min,n_max,loss_streak_mean,loss_streak_max,win_streak_mean,win_streak_max,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_loss_str_mean,safe_win_str_mean,safe_dbl,br_safe_mult,br_nm_mult,br_wr,br_n_tickets,br_win_streak,br_loss_streak,br_doublings,wr_safe_mult,wr_nm_mult,wr_wr,wr_n_tickets,wr_win_streak,wr_loss_streak,wr_doublings,wr_ruined,score
73,4.5,2.0,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4545,0.0485,20.21,17,24,2.98,4,2.95,5,9.1387,0.0,5.0,2.98,5.8426,0.0,11.376,2.4032,1.0,2.98,2.94,2.02,11.376,22.989,0.5,22,3,3,3,0.0,0.0,0.3636,22,2,4,0,False,3.0477
135,5.0,2.0,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4609,0.0493,19.63,17,25,3,4,3.18,7,9.5526,0.0,7.0,3,5.8235,0.0,9.824,2.6948,2.0,3,3.13,1.88,9.824,12.071,0.5294,17,5,3,1,0.0,0.0,0.4211,19,2,4,0,False,3.03
150,5.0,2.2,0.65,12,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.3755,0.0514,18.76,15,22,3.18,4,1.72,5,8.8729,0.0,12.0,3.18,5.8157,0.0,15.475,3.1148,2.0,3.18,1.7,1.96,15.475,42.021,0.381,21,2,3,3,0.0,0.0,0.4444,18,3,4,0,True,3.0005
151,5.0,2.2,0.65,12,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.374,0.0533,18.99,16,23,3.23,4,1.57,3,8.5531,0.0,13.0,3.23,5.8023,0.0,13.269,3.069,3.0,3.23,1.57,1.97,13.269,32.58,0.45,20,2,3,3,0.0,0.0,0.3158,19,1,4,0,False,2.9834
82,4.5,2.0,0.65,12,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4505,0.05,20.43,18,23,3.01,5,2.94,5,9.3536,0.0,6.0,3.01,5.7917,0.0,10.161,2.6168,1.0,3.01,2.91,2.02,10.161,20.312,0.5,22,3,3,3,0.0,0.0,0.381,21,2,4,0,False,3.021
127,5.0,2.0,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4507,0.0435,20.23,18,23,2.97,4,2.83,5,9.4208,0.0,6.0,2.97,5.7835,0.0,9.958,2.7642,1.0,2.97,2.81,1.99,9.958,19.171,0.3913,23,2,3,2,0.0,0.0,0.4091,22,2,4,0,False,3.017
140,5.0,2.0,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.3992,0.0479,20.01,17,23,2.96,5,1.84,4,8.7295,0.0,7.0,2.96,5.7719,0.0,10.863,2.146,1.0,2.96,1.83,1.9,10.863,27.164,0.4348,23,2,2,3,0.0,0.0,0.4091,22,2,5,0,True,2.9957
88,4.5,2.0,0.65,15,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4488,0.0478,20.38,17,24,3.08,4,2.91,5,9.4196,0.0,8.0,3.08,5.7632,0.0,11.181,2.6519,1.0,3.08,2.9,1.96,11.181,25.934,0.5,22,5,3,3,0.0,0.0,0.381,21,2,4,0,False,3.0062
138,5.0,2.0,0.65,15,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4137,0.0493,19.66,16,22,3.11,4,2.12,6,8.799,0.0,6.0,3.11,5.7607,0.0,10.162,2.7949,0.0,3.11,2.12,1.79,10.162,19.478,0.4545,22,3,3,3,0.0,0.0,0.4,20,2,4,0,False,3.0045
155,5.0,2.2,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4157,0.049,19,16,22,3.01,4,1.88,4,9.0063,0.0,7.0,3.01,5.7599,0.0,9.889,2.5937,1.0,3.01,1.88,1.81,9.889,19.204,0.4286,21,3,3,2,0.0,0.0,0.3684,19,1,4,0,False,2.9947
56,4.5,1.8,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4494,0.0452,20.32,17,23,3,5,2.81,5,8.9601,0.0,9.0,3,5.7439,0.0,10.991,2.5256,1.0,3,2.78,2,10.991,21.725,0.4348,23,4,3,3,0.0,0.0,0.381,21,2,4,0,False,2.9968
128,5.0,2.0,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.44,0.0435,20.13,17,22,3.05,5,2.75,5,9.3082,0.0,4.0,3.05,5.7413,0.0,10.704,2.7429,1.0,3.05,2.72,1.87,10.704,20.341,0.5238,21,5,3,2,0.0,0.0,0.4,20,2,4,0,False,2.9927
149,5.0,2.2,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4223,0.0513,19.01,16,22,2.96,4,2.06,5,8.7434,0.0,6.0,2.96,5.7413,0.0,11.012,2.4992,0.0,2.96,2.06,1.89,11.012,21.855,0.4091,22,2,3,3,0.0,0.0,0.35,20,1,4,0,False,2.9973
153,5.0,2.2,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4377,0.0494,18.74,16,22,3.05,4,2.63,5,9.2825,0.0,3.0,3.05,5.7336,0.0,10.514,3.0363,0.0,3.05,2.63,1.74,10.514,16.128,0.4737,19,2,3,2,0.0,0.0,0.4,20,3,4,0,False,2.9981
161,5.0,2.2,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.42,0.0465,18.98,16,22,2.94,4,2.05,4,8.9533,0.0,6.0,2.94,5.7165,0.0,10.512,2.3802,0.0,2.94,2.05,1.93,10.512,22.752,0.4762,21,4,3,3,0.0,0.0,0.4091,22,3,4,0,False,2.9842
77,4.5,2.0,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4409,0.0435,20.43,18,23,3.11,4,2.85,5,9.0061,0.0,4.0,3.11,5.6985,0.0,10.149,2.5748,0.0,3.11,2.85,1.95,10.149,21.123,0.5,22,5,3,3,0.0,0.0,0.4286,21,2,4,0,False,2.9815
57,4.5,1.8,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4667,0.0453,20.27,17,23,3.1,5,3.46,7,9.4135,0.0,4.0,3.1,5.6872,0.0,11.565,2.8592,1.0,3.1,3.45,1.88,11.565,22.391,0.5238,21,5,3,2,0.0,0.0,0.381,21,2,4,0,False,2.9736
112,5.0,1.8,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4505,0.0455,20.18,18,23,3.05,4,2.86,5,9.4402,0.0,7.0,3.05,5.6856,0.0,12.607,3.0215,0.0,3.05,2.86,1.97,12.607,30.173,0.4783,23,5,3,3,0.0,0.0,0.381,21,2,4,0,False,2.9779
124,5.0,1.8,0.65,15,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4422,0.0486,20.21,17,23,3.02,4,2.73,5,9.2944,0.0,7.0,3.02,5.6842,0.0,11.405,2.9309,2.0,3.02,2.71,1.85,11.405,33.639,0.5,22,5,3,3,0.0,0.0,0.4,20,2,4,0,False,2.9548
47,4.0,2.2,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4235,0.0456,19.82,17,24,2.97,4,2.05,4,8.8008,0.0,7.0,2.97,5.6698,0.0,10.092,2.1028,1.0,2.97,2.05,2.02,10.092,26.508,0.4167,24,2,3,3,0.0,0.0,0.4,20,3,4,0,False,2.952
145,5.0,2.2,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4195,0.047,19.02,16,22,2.99,4,2.02,4,9.0676,0.0,3.0,2.99,5.6605,0.0,10.468,2.6554,1.0,2.99,2.01,1.89,10.468,27.96,0.4545,22,3,3,4,0.0,0.0,0.4737,19,3,4,0,False,2.9461
72,4.5,2.0,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4633,0.0519,19.91,17,23,3.01,4,3.41,6,9.0231,0.0,5.0,3.01,5.6578,0.0,9.344,2.4,0.0,3.01,3.41,1.92,9.344,18.888,0.4762,21,4,3,2,0.0,0.0,0.45,20,4,4,0,False,2.9679
75,4.5,2.0,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4694,0.0507,20.08,16,23,3.03,4,3.46,7,9.0894,0.0,4.0,3.03,5.6313,0.0,11.261,2.514,0.0,3.03,3.46,1.93,11.261,24.899,0.5217,23,5,3,3,0.0,0.0,0.5238,21,5,4,0,False,2.9565
130,5.0,2.0,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4473,0.043,19.97,17,24,2.97,4,2.68,5,9.1709,0.0,6.0,2.97,5.6288,0.0,9.904,2.6796,1.0,2.97,2.67,1.89,9.904,20.619,0.4762,21,4,3,2,0.0,0.0,0.4211,19,2,4,0,False,2.9386
101,4.5,2.2,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4205,0.0536,19.32,16,23,2.96,4,1.97,4,8.8968,0.0,2.0,2.96,5.6141,0.0,10.916,2.2238,0.0,2.96,1.97,1.94,10.916,25.441,0.5,22,2,3,3,0.0,0.0,0.3333,21,1,4,0,False,2.9332
53,4.0,2.2,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4328,0.0482,19.92,17,24,2.98,4,2.29,5,8.7955,0.0,7.0,2.98,5.61,0.0,8.845,2.1907,0.0,2.98,2.29,2.02,8.845,16.293,0.45,20,3,3,3,0.0,0.0,0.45,20,3,4,0,False,2.9348
159,5.0,2.2,0.65,15,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4347,0.0526,18.58,16,22,2.96,4,2.39,5,8.6678,0.0,4.0,2.96,5.6095,0.0,11.268,2.57,2.0,2.96,2.38,1.83,11.268,20.846,0.3636,22,1,3,2,0.0,0.0,0.4211,19,3,4,0,False,2.9152
87,4.5,2.0,0.65,15,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4686,0.0485,19.95,17,23,3,4,3.36,8,9.1786,0.0,5.0,3,5.6033,0.0,9.694,2.5336,1.0,3,3.36,1.97,9.694,18.791,0.4545,22,3,3,3,0.0,0.0,0.4762,21,6,4,0,False,2.9322
116,5.0,1.8,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4022,0.0453,19.97,17,23,2.89,4,1.83,5,8.6036,0.0,2.0,2.89,5.6014,0.0,10.722,2.2036,0.0,2.89,1.83,1.8,10.722,29.043,0.5,22,4,2,3,0.0,0.0,0.35,20,1,4,0,False,2.9214
35,4.0,2.0,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4537,0.0463,20.46,17,24,2.95,4,2.93,5,8.3848,0.0,7.0,2.95,5.601,0.0,10.605,2.1635,0.0,2.95,2.93,1.95,10.605,20.265,0.4348,23,3,3,3,0.0,0.0,0.3478,23,2,4,0,False,2.9366
71,4.5,1.8,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4489,0.0501,20.39,17,24,2.96,4,2.9,5,9.0889,0.0,6.0,2.96,5.5939,0.0,11.781,2.5324,1.0,2.96,2.88,1.92,11.781,35.218,0.5,24,5,3,3,0.0,0.0,0.3636,22,2,4,0,False,2.9216
68,4.5,1.8,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4069,0.0488,20.47,17,25,3.03,5,2.11,5,8.3918,0.0,4.0,3.03,5.5835,0.0,9.585,2.1786,1.0,3.03,2.11,1.86,9.585,18.135,0.3913,23,1,3,2,0.0,0.0,0.3333,21,1,4,0,False,2.9038
141,5.0,2.0,0.65,15,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4648,0.0479,19.75,17,23,3.04,4,3.4,8,8.8519,0.0,8.0,3.04,5.5813,0.0,12.166,2.989,3.0,3.04,3.3,1.83,12.166,31.408,0.4783,23,5,3,3,0.0,0.0,0.4,20,2,4,0,False,2.9001
97,4.5,2.2,0.65,12,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.369,0.0492,19.59,17,23,3.38,5,1.68,4,7.4204,0.0,19.0,3.36,5.579,0.0,12.077,2.7133,3.0,3.36,1.68,1.96,12.077,23.74,0.4286,21,2,3,3,0.0,0.0,0.3636,22,3,4,0,False,2.8702
105,4.5,2.2,0.65,15,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4314,0.051,19.33,16,22,3,5,2.42,6,8.9662,0.0,5.0,3,5.5754,0.0,10.298,2.5635,1.0,3,2.4,1.94,10.298,13.399,0.4,20,1,3,2,0.0,0.0,0.35,20,1,4,0,False,2.9071
99,4.5,2.2,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4436,0.0572,19.21,15,23,3.01,4,2.72,7,8.6146,0.0,9.0,3.01,5.5724,0.0,11.834,2.5623,2.0,3.01,2.7,1.91,11.834,37.669,0.4783,23,4,3,3,0.0,0.0,0.3636,22,2,4,0,False,2.8993
148,5.0,2.2,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4155,0.0468,19.19,17,22,3.06,4,1.93,4,8.9216,0.0,6.0,3.06,5.5698,0.0,10.08,2.8643,0.0,3.06,1.93,1.82,10.08,21.064,0.4762,21,4,3,3,0.0,0.0,0.3182,22,1,4,0,False,2.9095
93,4.5,2.2,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4284,0.0476,19.11,16,22,3,4,2.3,5,8.3539,0.0,4.0,3,5.5687,0.0,9.411,2.1295,0.0,3,2.3,1.92,9.411,15.482,0.45,20,2,3,2,0.0,0.0,0.45,20,3,4,0,False,2.9129
95,4.5,2.2,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4184,0.0483,19.41,16,22,3,4,1.95,4,8.798,0.0,1.0,3,5.5579,0.0,11.02,2.5174,0.0,3,1.95,1.83,11.02,20.929,0.4091,22,2,3,2,0.0,0.0,0.35,20,1,4,0,False,2.9045
69,4.5,1.8,0.65,15,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4678,0.0528,20.12,17,24,3.03,4,3.53,7,9.0007,0.0,5.0,3.03,5.5471,0.0,12.218,2.7206,0.0,3.03,3.53,1.95,12.218,31.976,0.5,24,5,3,3,0.0,0.0,0.4286,21,4,4,0,False,2.9139
70,4.5,1.8,0.65,15,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4517,0.0517,20.35,17,23,3.04,4,2.94,5,8.6731,0.0,5.0,3.04,5.5328,0.0,9.215,2.533,2.0,3.04,2.9,1.93,9.215,17.638,0.4545,22,2,3,2,0.0,0.0,0.4211,19,2,4,0,True,2.8819
59,4.5,1.8,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4497,0.0415,20.45,18,23,3.08,4,2.97,5,8.7436,0.0,3.0,3.08,5.5272,0.0,10.355,2.6524,0.0,3.08,2.97,1.97,10.355,19.641,0.4762,21,4,3,3,0.0,0.0,0.4545,22,4,4,0,False,2.8985
120,5.0,1.8,0.65,15,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4129,0.0419,19.58,16,22,3.09,5,2.12,4,8.3903,0.0,8.0,3.09,5.5253,0.0,10.861,2.699,1.0,3.09,2.11,1.8,10.861,27.978,0.4545,22,3,3,3,0.0,0.0,0.4,20,2,4,0,False,2.8765
106,4.5,2.2,0.65,15,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4201,0.0477,19.21,16,23,2.98,4,1.96,4,8.2181,0.0,5.0,2.98,5.4813,0.0,9.577,2.1929,0.0,2.98,1.96,1.83,9.577,17.772,0.4545,22,2,3,2,0.0,0.0,0.381,21,2,4,0,False,2.8667
55,4.5,1.8,0.65,10,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4506,0.048,20.34,17,24,3.03,5,3.04,5,8.8508,0.0,6.0,3.03,5.4776,0.0,9.701,2.6226,2.0,3.03,3.01,1.95,9.701,13.693,0.5,20,4,3,2,0.0,0.0,0.4,20,2,4,0,False,2.854
144,5.0,2.2,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4306,0.0482,18.76,15,22,3.04,4,2.34,6,8.5721,0.0,7.0,3.04,5.4686,0.0,11.137,2.9359,2.0,3.04,2.3,1.78,11.137,21.844,0.4091,22,2,3,3,0.0,0.0,0.4444,18,3,4,0,True,2.8435
139,5.0,2.0,0.65,15,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4032,0.0486,20.06,17,23,3.06,4,1.89,4,8.2531,0.0,4.0,3.06,5.4641,0.0,11.742,2.6967,1.0,3.06,1.87,1.8,11.742,22.4,0.5238,21,3,3,3,0.0,0.0,0.381,21,3,4,0,False,2.843
96,4.5,2.2,0.65,12,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.3812,0.0535,19.05,16,22,3.22,5,1.76,4,7.8611,0.0,14.0,3.21,5.4625,0.0,10.94,2.6659,1.0,3.19,1.75,1.85,10.94,24.887,0.381,21,2,3,3,0.0,0.0,0.4286,21,4,4,0,False,2.8356
122,5.0,1.8,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.3969,0.0416,20.29,17,23,3.05,4,1.81,3,8.4292,0.0,3.0,3.05,5.4598,0.0,10.742,2.5984,0.0,3.05,1.81,1.81,10.742,26.841,0.4348,23,3,3,3,0.0,0.0,0.3333,21,1,4,0,False,2.849
43,4.0,2.2,0.65,12,4,1,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.3827,0.0535,19.81,16,22,3.22,5,1.74,3,8.001,0.0,12.0,3.21,5.4514,0.0,10.342,2.5627,3.0,3.19,1.73,1.94,10.342,27.024,0.381,21,3,3,3,0.0,0.0,0.3182,22,2,5,0,True,2.8105
36,4.0,2.2,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.439,0.0578,19.4,16,24,2.92,5,2.46,6,8.4266,0.0,6.0,2.92,5.4429,0.0,8.478,1.9613,1.0,2.92,2.46,1.94,8.478,15.734,0.4545,22,3,3,3,0.0,0.0,0.381,21,2,4,0,False,2.8432
98,4.5,2.2,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.3727,0.0479,19.64,17,23,3.45,5,1.69,3,6.5395,0.0,20.0,3.42,5.4399,0.0,9.885,2.6802,1.0,3.42,1.69,1.92,9.885,18.983,0.45,20,2,3,3,0.0,0.0,0.4286,21,3,4,0,False,2.8218
86,4.5,2.0,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4054,0.0481,20.63,17,24,3.08,4,2.09,4,8.1794,0.0,5.0,3.08,5.4388,0.0,11.055,2.3406,0.0,3.08,2.09,1.9,11.055,22.014,0.5238,21,4,3,3,0.0,0.0,0.4545,22,3,4,0,False,2.841
22,4.0,2.0,0.65,10,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4567,0.0473,20.54,18,24,3.01,4,3.07,5,8.4921,0.0,7.0,3.01,5.4323,0.0,9.064,2.4095,0.0,3.01,3.07,2.04,9.064,17.255,0.4091,22,3,3,3,0.0,0.0,0.4091,22,4,4,0,False,2.8532
107,4.5,2.2,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4184,0.0506,19.55,17,22,3.1,4,2.05,4,8.2447,0.0,5.0,3.1,5.4099,0.0,8.876,2.5486,0.0,3.1,2.05,1.84,8.876,14.242,0.381,21,1,3,2,0.0,0.0,0.35,20,1,4,0,False,2.8305
160,5.0,2.2,0.65,15,4,2,3,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4097,0.0449,19.12,16,22,3.02,4,1.79,4,8.3193,0.0,7.0,3.02,5.396,0.0,9.938,2.62,0.0,3.02,1.79,1.79,9.938,14.014,0.4,20,1,3,2,0.0,0.0,0.381,21,1,4,0,False,2.8209
39,4.0,2.2,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4379,0.0579,19.33,16,22,3.01,4,2.56,7,8.5091,0.0,3.0,3.01,5.3943,0.0,8.752,2.2228,2.0,3.01,2.54,1.91,8.752,16.872,0.381,21,2,3,2,0.0,0.0,0.4,20,2,4,0,False,2.8085
21,4.0,2.0,0.65,10,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4723,0.0568,20.39,17,24,3.06,4,3.61,8,8.3698,0.0,9.0,3.06,5.388,0.0,9.625,2.4239,2.0,3.06,3.59,1.9,9.625,17.774,0.4167,24,2,3,3,0.0,0.0,0.5455,22,8,4,0,False,2.8157
